,gene,slope,intercept,slope_pval,intercept_pval,-log10(slope_pval),-log10(intercept_pval)
MIR1302-10,MIR1302-10,-3.250398496671764e-05,-0.0004213491556171651,0.8989381474387266,0.5372594613220036,0.0462701894126844,0.26981592769551016
FAM138A,FAM138A,0.0,0.0,,,,
OR4F5,OR4F5,0.0,0.0,,,,
RP11-34P13.7,RP11-34P13.7,0.003627767674093234,-0.004272844764378147,0.4698291445513536,0.7489042875210714,0.328060046465945,0.12557368304494135
RP11-34P13.8,RP11-34P13.8,0.0013201589700108437,-0.0034503771826497843,0.01008375460241021,0.011517997145383272,1.996377731828982,1.9386230334415047
AL627309.1,AL627309.1,-0.010022632779549047,-0.018105023583609738,0.5651165124680879,0.6962957138216082,0.2478620026136194,0.157206278197037
RP11-34P13.14,RP11-34P13.14,0.0,0.0,,,,
RP11-34P13.9,RP11-34P13.9,0.00020193172382230117,-0.0007859853412600361,0.35224179074010076,0.17592658458529858,0.45315911966025163,0.7546685285566305
AP006222.2,AP006222.2,-0.0031389225378961948,-0.18621654470176013,0.9349835580429036,0.07318827999116377,0.029196026254780103,1.1355584591421846
RP4-669L17.10,RP4-669L17.10,0.01509914833781225,-0.0570265111401872,0.1319777831176735,0.03441742817651319,0.8794991709265214,1.4632215852135328
OR4F29,OR4F29,0.0,0.0,,,,
RP4-669L17.2,RP4-669L17.2,0.007611492255313846,-0.01021216728665555,0.04753344665050724,0.3123143689937808,1.323000693867953,0.5054080342419328
RP5-857K21.15,RP5-857K21.15,-0.0003689515812039814,-5.341645866425941e-05,0.20477059625850097,0.9446858084932463,0.6887324051155086,0.02471260876718383
RP5-857K21.1,RP5-857K21.1,0.00027610218970590026,-0.001379389930713001,0.8672382416659178,0.7540011263036341,0.06186157976981904,0.12262800539403508
RP5-857K21.2,RP5-857K21.2,0.0,0.0,,,,
RP5-857K21.3,RP5-857K21.3,-8.688140203435313e-05,-0.0005199159460386755,0.8103140639498014,0.5901853735710691,0.09134662333799665,0.22901155772336235
RP5-857K21.4,RP5-857K21.4,0.0008405552388239132,-0.0034152889756838977,0.16516851487687917,0.03623501412929,0.7820727361828942,1.440871564999174
RP5-857K21.5,RP5-857K21.5,0.0,0.0,,,,
OR4F16,OR4F16,0.0,0.0,,,,
RP11-206L10.3,RP11-206L10.3,0.01829722772503392,0.011521621319102988,0.35957114783148514,0.8279994040904244,0.44421516354693946,0.08196997577590914
RP11-206L10.5,RP11-206L10.5,0.0011858998958432668,-0.00010143341149111685,0.3987508077594595,0.9783218378468503,0.39929842417270445,0.009518252157164356
RP11-206L10.4,RP11-206L10.4,0.00030863466236097945,-0.0017436478599732518,0.6188710966793789,0.29327423609126707,0.2083997998177251,0.5327260877690503
RP11-206L10.2,RP11-206L10.2,-0.0020761150869380643,0.013968144129166749,0.758112612569255,0.437754518393377,0.12026627802911401,0.35876936254164155
RP11-206L10.9,RP11-206L10.9,0.009635776999746385,-0.04706242143562093,0.5845672508129536,0.31767402810480766,0.2331655187589708,0.49801829008893017
AL669831.1,AL669831.1,0.0,0.0,,,,
FAM87B,FAM87B,-0.0016041041655710233,-0.0046098517370148796,0.7059305550610759,0.684042001482805,0.1512380199640239,0.16491723095212638
LINC00115,LINC00115,0.00825154806296106,-0.08461309721236634,0.6465862808575316,0.08126237040702118,0.18937351440290295,1.09011051354204
FAM41C,FAM41C,-0.030167407714182647,-0.07587495643853347,0.2734635020322433,0.30095991044861276,0.5631006288322797,0.5214913510191054
AL645608.2,AL645608.2,0.0,0.0,,,,
RP11-54O7.16,RP11-54O7.16,-0.0007774081886580668,-0.00028511638925711317,0.19443959961913296,0.8572467612062348,0.7112152818753202,0.06689414703298602
RP11-54O7.1,RP11-54O7.1,0.0005063172841734909,0.04561936295815961,0.9756727601130362,0.30460150779728973,0.010695819943673392,0.5162679512087023
RP11-54O7.2,RP11-54O7.2,-0.0037546009760895155,-0.00995636864163411,0.45312939634272464,0.45524650610256123,0.34377776246148584,0.34175337861640476
RP11-54O7.3,RP11-54O7.3,0.014042111989264382,0.032286241030646326,0.3077825862396141,0.37824478114192794,0.5117559553751783,0.42222705547106437
SAMD11,SAMD11,-0.0777610488647753,0.2955461134809636,0.015604742079258941,0.0007584213842340029,1.8067434051133748,3.1200894302534574
AL645608.1,AL645608.1,0.0,0.0,,,,
NOC2L,NOC2L,0.05453982900304413,-0.19028232303242223,0.07942801587028474,0.02284081924558817,1.1000262860890242,1.6412883230418878
KLHL17,KLHL17,0.01805928454833026,-0.043576701228832435,0.5170773714444282,0.5572488922228553,0.2864444675883088,0.2539507861980689
PLEKHN1,PLEKHN1,-0.07700567007383273,0.22083949991896554,0.014032366658410645,0.00844520359982651,1.852869075941827,2.073389875848413
C1orf170,C1orf170,0.009987064959736482,-0.003592870648033201,0.2695847770665486,0.8808937236941132,0.5693046352177812,0.05507648432042961
RP11-54O7.17,RP11-54O7.17,0.01975536607709285,0.01995337074396708,0.2682305052101948,0.6733187167312391,0.571491832408794,0.17177931296393126
HES4,HES4,0.003706400958642665,-0.3485480371426539,0.9378180355271128,0.007579125228797871,0.027881419438302135,2.120380917089502
RP11-54O7.11,RP11-54O7.11,-0.00018367236066513557,0.0001018156728041636,0.14603585702035107,0.7603072663168781,0.8355404963106576,0.11901085890658589
ISG15,ISG15,-0.05548549316828795,-0.07505568455356361,0.4484237724590002,0.699813777208532,0.34831137204919066,0.1550175118291856
AGRN,AGRN,0.051362820615900966,-0.03703636757762529,0.125395973570395,0.675478764821859,0.901716408355648,0.1703882994408395
RP11-54O7.18,RP11-54O7.18,-0.00011988707833923492,-0.0008611024715862429,0.7697605873659472,0.4311358207285654,0.11364432905290628,0.365385892482523
RNF223,RNF223,-0.009577241580107242,-0.006664189912108833,0.6765095837257133,0.9131680091502865,0.16972604662036891,0.03944931147534426
C1orf159,C1orf159,-0.036294159743184645,-0.1261867185391613,0.29747879435413277,0.1753549517849547,0.5265439873244231,0.7560819657247824
RP11-465B22.5,RP11-465B22.5,0.008448631804255894,-0.004885080282291827,0.121797704720644,0.7345470169935107,0.9143608959112821,0.1339804005989457
RP11-465B22.8,RP11-465B22.8,0.021437594978374296,-0.0118545507950762,0.4326221871247886,0.8702994409270968,0.36389121143697567,0.06033129546463754
TTLL10-AS1,TTLL10-AS1,0.0,0.0,,,,
TTLL10,TTLL10,0.023737958348257017,-0.027794532018770916,0.05159367204240775,0.3861226415386768,1.2874035612718226,0.41327473138033843
TNFRSF18,TNFRSF18,0.04414076108881237,-0.12425586970772606,0.02003723301061289,0.014253152218582569,1.6981622514270716,1.8460890767261817
