,gene,slope,intercept,slope_pval,intercept_pval,-log10(slope_pval),-log10(intercept_pval)
RP11-206L10.2,RP11-206L10.2,-0.0017025318132108888,0.002845267798671196,0.8041493631869335,0.8905468278826596,0.09466327764055692,0.05034323896734819
SAMD11,SAMD11,-0.0038783333308905032,-0.10762039082666347,0.8778671870191931,0.15999774503853717,0.05657118376096335,0.7958861381204583
HES4,HES4,-0.012840702532573217,-0.1373321971952169,0.5766791961982687,0.05054867903799246,0.23906571555504982,1.2962901891136633
ISG15,ISG15,-0.02826596457663518,-0.5597333629120682,0.6127300599122633,0.0013741779659263275,0.21273081310074024,2.8619570193763417
RNF223,RNF223,-0.02227035172045713,0.05579840362466792,0.1718296346996492,0.2546665185820601,0.7649019331902565,0.5940281486793634
RP11-465B22.5,RP11-465B22.5,0.00014865780551259866,0.0012012691656686678,0.8961108869193108,0.726211809653124,0.04763824636747106,0.1389366928708242
RP11-465B22.8,RP11-465B22.8,-0.0007924832749537792,-0.03553853520251495,0.9655900582249513,0.521348707854636,0.015207214410573973,0.2828716985061088
MIB2,MIB2,0.010677156738595112,-0.04077711439379496,0.6259309159885285,0.5367526100005273,0.20347359723783567,0.27022583509651876
C1orf222,C1orf222,0.00817255687102017,-0.025228360281193234,0.45917783720606753,0.44813176581532066,0.3380190818718215,0.3485942700362076
HES5,HES5,-0.0021830514750696356,-0.004462884713016157,0.6638276283074722,0.7679081185878632,0.1779446763447358,0.11469074087662458
RP3-395M20.12,RP3-395M20.12,0.009260061023799726,0.01898730156409519,0.6719351077292299,0.7730391487099062,0.1726726669996393,0.11179851172441226
TNFRSF14,TNFRSF14,-0.0061777826878443055,-0.003997652755367036,0.7711649063663536,0.9501601515631575,0.11285274222533073,0.022203187260448728
MMEL1,MMEL1,-0.00346557170141826,0.04491287687001295,0.8041643365940329,0.2880155819307637,0.09465519107376388,0.5405840158397619
RP11-168F9.2,RP11-168F9.2,0.002553878351113495,-0.008478044353203,0.15969503156891546,0.12181491959394275,0.7967085954192473,0.9142995171176848
RP11-46F15.2,RP11-46F15.2,-0.0005071806233149248,0.0006791577551725739,0.9007079479915234,0.9557629257239943,0.045416004955108745,0.019649819876921455
RP11-338N10.2,RP11-338N10.2,0.0002385791673584848,0.0004396105551104965,0.8771657121515707,0.9246644534238821,0.05691835295712951,0.0340158374924311
