,AT1,AT2,Aberrant Basaloid,Basal,Ciliated,Secretory,capillary EC,ectopic EC,lymphatic EC,Fibroblasts,Myofibroblasts,Pericytes,SMC,Macrophages,SPP1+ Macrophages,DC,Mast cells,B cells,Plasma cells,T cells,NK cells
19,SLC34A2,SFTPB,RBM39,MLF1,HECTD1,IRX3,SLC9A3R2,RPL24,GIMAP7,S100A4,AHNAK,SARS1,JAG1,MNDA,RPL11,ATP6AP2,ACTB,STMN1,TXN,MAP3K8,S100A4
20,RAB27B,CSF3R,SARS1,RBM39,IBTK,RPS6,ICAM2,EEF1B2,HOMER3,RARRES2,CEMIP,LRRFIP1,IGFBP5,VSIG4,RPS16,CIAO1,SQSTM1,NARF,TAF1D,IL2RA,GSTP1
21,RPL13A,AGR2,PFDN2,TAF1D,TFPI,SSR4,COL4A2,CALD1,TGFBR2,MT-ND1,NR2F1,MGST3,NDUFA4L2,S100A4,RPL28,PLD3,RAN,ZBTB38,HYOU1,CREBRF,SCGB3A2
22,MT-CO3,HLA-DPA1,EIF1,RRAGD,UBR4,CP,CXCR4,RPL21,LDB2,MT-ND3,ACTG1,DLC1,CCN3,MSR1,RPL32,PLPP5,HSPA5,RXYLT1,ATP6V0B,TRDC,FOS
23,SCEL,MT-ND4,CLDN4,PAPOLA,ABI2,TPT1,HYAL2,RPL28,EGFL7,TIMP1,SYNPO,SLC3A2,PCOLCE2,FBP1,RPL18,CST3,RPL28,ALOX5AP,HSP90AA1,ZBTB10,NUDC
24,SERPINB1,TCIM,BLVRB,MUC4,HSPA1B,NAPSA,SPARC,ITGB1,TIE1,MT-ND5,SPRY1,AHNAK,ITM2B,GLUL,RPL12,ZNF506,MAP1LC3B,EIF1,ARPP19,NR4A2,TXN
25,LGALS3BP,WSB1,FNBP4,PPP1R15A,UBE2D3,WFDC2,ESAM,RPS6,LAMA4,COL1A2,NUPR1,MKNK2,CD81,CD163,RPL9,SH3BGRL3,PSME2,LPXN,UBE2B,BTG3,SATB1
26,ID1,CXCL17,RIOK3,HSPA1A,TSPYL1,RPL37A,AFAP1L1,PLS3,CCN1,PRDX2,PHLDB2,BRD2,S100A6,SH3BGRL3,RPS12,MRFAP1,SELENOS,POLR2A,NANS,TP53INP1,ICAM2
27,AREG,MT-CO2,MAL2,SLC3A2,BEX4,CEBPD,DLL4,RPS8,PROX1,RPL3,IFITM2,GOLGA4,SCARA3,BLVRB,CD52,CD63,DDIT3,RPL10,UBL5,LRRC75A,WFDC2
28,MYOF,CYB5A,CD24,PIFO,GRPEL1,RPS2,TP53I11,CALM1,SPRY1,CD81,ZNF503,PPP1R14A,ITGA8,GPNMB,RPL3,TMEM165,SEC61B,RPL32,MORF4L1,WSB1,RPS9
29,SLC6A14,C1R,JUN,MKNK2,STK17A,RPL31,HLA-E,RPS3A,PTPRE,RPS4X,GALNT15,ETS1,NRGN,CFD,S100A4,CD48,CEBPB,RPS3A,PLAAT3,RPL37A,SPON2
30,SFTPD,C1S,OSER1,LCN2,CCSER2,HOPX,CD93,FKBP1A,S100A6,ID1,ACTB,GSN,PLN,SLCO2B1,RPS3A,TPM4,DDIT4,TFAM,ADIPOR1,C1orf21,NKG7
31,CTSH,MT-CO3,STX3,HNRNPC,KMT2A,SLC22A31,IFITM3,RPL7A,KLF6,BGN,SLC40A1,NR4A1,IGFBP2,ACTB,FBP1,RAC2,GUK1,UBL5,ASNS,KIT,GZMB
32,GKN2,ZMYND8,LRRFIP2,HSPA1B,AK9,MUC1,PCDH12,ACTG1,A2M,ITM2B,FMOD,STOM,TFPI,DOK2,RPL13A,CD9,GSTP1,ACO2,MGST3,GADD45A,ITGAX
33,MMP28,GADD45G,GFPT1,UBB,SF3B3,SLC25A6,PDLIM1,TNFRSF12A,ARHGAP29,COL1A1,YBX3,TUBB4B,ANKH,HLA-DMA,RPL41,CTSD,EIF5A,UPF3B,SAT1,CELF1,RPL15
34,LPCAT1,LGALS3BP,SESN2,S100P,CCDC85B,FOLR1,ACKR3,RPS2,APLP2,PDGFRB,VAT1,ARF4,OSR1,YBX1,RPS23,MRPL32,PPP1R15A,RPL34,UBE4B,RDX,RPL32
35,FOLR1,SLC25A37,RAP2B,MKRN1,FNBP1L,IFITM3,TXNIP,RPL10,GIMAP4,COL6A2,NPC2,TACC1,MGST3,HLA-DRB5,RPS18,TNFRSF1A,GADD45A,CCDC130,ACTR2,LMO4,EEF1A1
36,LMO3,CST3,GADD45A,CLK1,MCM7,RPS11,LAMA4,RPL5,PPFIBP1,TGFBI,GPC3,CNBP,MT-CYB,VMO1,RPS6,TSNAX,PDCD5,EML4,RTN3,METRNL,TAGLN2
37,IFITM2,ELF3,GARS1,HSP90AB1,UAP1,RPL9,RAMP2,RPL10A,ECSCR,CCDC102B,NDRG1,SRPRA,MFGE8,TGFBI,RPL6,SLFN5,SLC3A2,PITPNB,PSAT1,ITGB1,FGFBP2
38,SFTPC,UCP2,DNAJB1,HNRNPDL,FBH1,SFTPA1,CDC42EP3,RPSA,TIMP2,LTBP1,ZBTB20,APOLD1,PLS3,SLA,TMSB10,MS4A7,RPS27A,NDUFA3,SQSTM1,CCNI,RPS3A
39,MACROD2,ERBB3,PHLDA3,PMAIP1,HCFC1,TSPAN8,HLA-A,MSN,FABP5,VCAN,RPS21,PLEKHB2,MT-CO3,COTL1,RPS11,IL4R,DDX21,ATP1B3,NDUFB7,CCNL1,MT-CO1
40,AGR3,SFTPA2,RAB11FIP1,COG3,TMC5,MUC4,CD34,NACA,CRIP2,LTBP2,CABLES1,CKB,NR2F2,MAF,RPS13,SNX10,CIAO2B,RPS19,SERPINB1,CASC3,RPS11
41,SCD,DRAM1,EIF5,RSPH1,ZNF644,CYB5A,DIPK2B,RPS13,HYAL2,ACTG1,TBX2,RPL21,GNAS,MARCO,RPL21,VMP1,GAPDH,POMP,TAGLN2,RASGEF1B,AIF1
42,CCND1,EHF,RPL22L1,SRSF3,SPATA17,MT-ND1,PLVAP,RPL14,CD151,PTMS,A2M,TMSB4X,SOD3,HLA-DMB,RPS29,RNASET2,RPS19BP1,RPL21,SAMD4B,LYST,MICOS13
43,ADGRF1,EPS8,CDR2,RSRC2,TMEM67,CXCL17,WWTR1,RPS24,FCGRT,MXRA8,EMP1,CYSTM1,DSTN,C1orf162,RPL5,TMEM38B,HINT1,RPS3,LARP1,IKZF2,SHISA5
44,PHLDA2,ARFGEF3,BRD2,SUN1,PPP2R5E,STEAP4,CALM1,RPL18,H3-3A,CXCL1,RPS8,INPP4B,COL18A1,SCD,RPSA,TEX264,TCEA1,RLF,HSPD1,STMN1,ENC1
45,FDFT1,XBP1,ANXA3,GPBP1,HDAC1,CST3,PLK2,RPS23,C17orf67,LAMB1,SDCBP,PAG1,TSPO,MYL6,RPS28,HIF1A,RHEB,RPS11,CNBP,RAB1A,RPL37A
46,MT-CO1,HLA-DPB1,HSPD1,CKB,MTRNR2L8,RPS20,MT-ND5,UCK2,AHNAK,COL6A1,HEXIM1,MAFK,MT-CO1,S100A6,RPS15A,LMAN2,SEC61G,AKIRIN1,DERL2,SEC14L1,TMSB4X
47,NPC2,PDIA3,MAPK6,CTTN,CLU,SLPI,CAVIN1,RPL32,DMTN,EID1,COL14A1,MCAM,TNFRSF11B,HMOX1,HCST,SEC11C,POMP,C2orf69,TAP1,BEX2,INPP5K
48,LAPTM4B,C2,MYL12B,RPS10,KLF13,TOX3,GNAI2,RPL4,JUP,FTH1,ABCA6,RHOB,RPL10,JAML,RPL27,DDX21,SNU13,RPLP1,UBA52,DDX6,ITGB2
49,MSMO1,HLA-DRB5,VDAC2,CLDN3,SMG7,RPL6,FAM43A,RPL13A,VPS35L,RPL10,GBP2,RPS13,TPT1,CD68,SH3BGRL3,TERF2IP,S100A6,DCPS,TUBB4B,FAM53C,PSMB3
50,MPZL2,TCF7L1,BBC3,WEE1,MED10,LTA4H,MT-ND3,PCDH17,NTN4,LDHA,IFITM3,RHOA,MT-ND4,HLA-DRB1,RPS8,YBX3,GPX4,RPS25,LAMTOR5,CKS1B,ZBTB16
51,VSIG1,NRGN,DUSP1,OSER1,UPF2,OLFML3,SERPINH1,HSP90AB1,COLEC12,ADIRF,RPL36,PCDH1,SH3BGRL3,STMN1,RPL23A,PDIA4,SDF2L1,SSBP1,RNF167,HMGA1,CCL3
52,SLC39A8,ANXA4,HSPA5,RPL17,SRRM2,RPL3,LDB2,RPL15,PPP1R2,GNG11,F2R,GJA4,FOXC1,LYZ,RPS27A,C1orf122,SEC11C,SNRNP35,H3-3B,LUC7L3,HCFC2
53,AGPAT2,C1RL,UBC,HIPK1,SDF2L1,RPL4,LXN,RPL23A,SYNM,IFITM2,HMCN1,VAMP2,A2M,PSAP,RPL27A,ZCCHC2,LGALS3,RPL26,CHCHD2,KLRF1,MRPL14
54,S100P,HLA-DQB1,AEN,PIGR,FNBP4,ASPH,DYSF,BMP2,MT-CO1,CST3,RPS13,NR2F2,IGFBP6,LGALS3,YBX1,CALU,PSMB6,ZEB2,CCDC47,LIG1,TRDC
55,LDLR,IFITM3,KRT19,DNAAF1,TERF2IP,CD46,TIMP3,EMP1,ADM,NPC2,EGLN3,IFRD1,WWTR1,LGALS9,EEF1B2,IRF2BP2,KLHDC7B,TRPC4AP,FNDC3B,TXN,RPS6
