,names,scores,logfoldchanges,pvals,pvals_adj
0,DNAJB1,76.04304,5.8266325,0.0,0.0
1,HSP90AA1,68.864105,4.655029,0.0,0.0
2,HSPA1B,66.44911,8.447489,0.0,0.0
3,HSPA1A,63.21977,8.166034,0.0,0.0
4,DUSP1,59.350246,6.0027165,0.0,0.0
5,DNAJA1,59.333076,4.609779,0.0,0.0
6,NR4A2,52.329987,4.879234,0.0,0.0
7,HSP90AB1,50.225773,3.5471554,0.0,0.0
8,DUSP2,47.327263,4.8548393,3.23e-321,5.204636e-318
9,HSPA8,46.993267,2.92681,0.0,0.0
10,JUN,44.649292,4.521552,1.784721537645263e-300,2.1560551625715805e-297
11,JUNB,43.795975,3.7589083,4.757452086005839e-305,6.568342240743346e-302
12,KLF6,41.94208,4.812662,1.2208714772057808e-259,1.1237249896624065e-256
13,HSPH1,39.614548,3.721252,3.005868960698984e-256,2.5261061365804632e-253
14,FOS,38.54709,5.2879934,1.956484077673383e-224,1.1459660829499642e-221
15,PPP1R15A,38.258747,4.671407,1.8961157409822577e-225,1.1453131611701894e-222
16,UBB,36.7584,2.6987102,1.3821197833596539e-232,1.0274997420214905e-229
17,H3F3B,36.038506,2.1694689,2.698396462360912e-221,1.5340383888521784e-218
18,TAGAP,35.712185,4.832418,7.125282593139584e-201,3.624331243231448e-198
19,FOSB,35.20544,6.4839497,3.5548934108756797e-188,1.4937507551916523e-185
20,BTG1,33.45876,1.9900955,1.31180758269247e-198,6.501520196375064e-196
21,TSC22D3,32.30027,3.0462008,4.62286797979377e-187,1.8615711496132037e-184
22,MYADM,32.26585,4.1360173,1.8280621247830988e-175,6.309752287487949e-173
23,CXCR4,31.90649,2.8180337,5.782238472407589e-185,2.2352977486633256e-182
24,CD69,31.876724,3.7575824,3.538208956867938e-175,1.1998252794263223e-172
25,ZFP36L2,30.62037,2.4146678,7.729106880943356e-173,2.532134015283968e-170
26,UBC,30.4778,2.2135131,4.470703707711726e-171,1.3716544756565072e-168
