,names,scores,logfoldchanges,pvals,pvals_adj
0,TNFAIP3,25.859074,3.4916158,4.405068403222586e-108,8.514556716588936e-104
1,HSPH1,22.182867,3.0459104,1.8313058975300927e-85,1.7698655846679582e-81
2,HSP90AA1,21.341509,2.616872,1.1377775618511604e-76,7.330700831007027e-73
3,AC016831.7,21.065897,3.9475331,2.166293533315546e-74,1.0468071926364047e-70
4,HSPA1B,20.12425,3.3194296,2.4087489218051512e-73,8.452597047562921e-70
5,DUSP1,19.097794,3.500786,1.6438511534756905e-66,3.9717498681914525e-63
6,TSC22D3,18.720934,2.798132,3.094525918838518e-65,6.646010165025524e-62
7,KLF6,18.525108,2.9178946,3.917440048012553e-64,6.883654426184967e-61
8,STK17B,18.52423,2.6230578,3.482888550591892e-64,6.732075279439068e-61
9,CXCR4,18.314495,3.1114507,2.078793325654485e-62,3.0908458608904267e-59
10,NR4A2,18.193283,3.3296726,1.7549639916478906e-60,2.422978499611577e-57
11,PTPRC,17.708004,2.3236558,3.092147032594146e-59,3.7355068745632653e-56
12,SARAF,17.707531,2.0596676,8.48275881065053e-58,9.644896767709652e-55
13,BTG1,17.381878,1.8813452,2.728464994909047e-56,2.7757105203472093e-53
14,DDX5,17.37947,2.090928,1.5023227883642064e-56,1.6132442875717638e-53
15,JUNB,17.105825,2.7847638,2.9878024714810697e-56,2.8875616985628797e-53
16,MALAT1,16.904945,1.5790981,1.011953177364567e-53,8.89092862058169e-51
17,TENT5C,16.861471,2.9684465,7.707018535974491e-54,7.093760061040521e-51
18,ZNF331,16.783411,2.999528,1.8943869184507287e-53,1.5256918644472556e-50
19,JUN,16.244068,3.0213614,5.986700760022982e-51,4.285812555203119e-48
20,TAGAP,16.195929,2.8571854,9.588025974936057e-51,6.618819788197823e-48
21,GK,15.994469,2.9045942,4.319884113954659e-49,2.783301334620987e-46
22,DNAJA1,15.937454,2.1816704,2.2093968703796738e-49,1.4726011071575418e-46
23,DNAJB1,15.811757,2.4273415,9.408501974617066e-49,5.6830292083554145e-46
24,HSPD1,15.7485895,2.3530781,5.65460649940628e-49,3.525738355710451e-46
25,BTG2,15.511945,2.9328299,8.94468245875831e-47,4.939764778438267e-44
26,HSPA1A,15.413471,2.53804,3.733526499996582e-47,2.1225098152480566e-44
