,names,scores,logfoldchanges,pvals,pvals_adj
0,HSPA1B,42.111374,5.0910077,1.4887484506289974e-245,2.8776018802207892e-241
1,FOSB,35.62626,4.3701353,3.217630727273201e-190,3.1096792163731852e-186
2,DUSP1,33.59719,3.820751,4.200208619796698e-179,2.7061944137350124e-175
3,DNAJB1,33.556908,3.6481085,3.689365193430094e-174,1.782793495595257e-170
4,HSPA1A,32.532406,4.4606156,2.3486154074632556e-170,9.079277442171453e-167
5,DNAJA1,31.778706,3.2188091,1.2009577368533991e-160,3.868885349273225e-157
6,HSPH1,31.026533,3.6852617,1.3765938209612013e-158,3.801168852194151e-155
7,HSP90AA1,30.447104,2.9572961,1.5114330423433908e-148,3.651811159431925e-145
8,JUN,26.233067,3.234112,2.1948617393341974e-122,4.713831395510078e-119
9,PPP1R15A,26.064705,3.325822,3.9273869700096427e-119,7.591246274331638e-116
10,FOS,25.72972,3.668645,3.1741539758103873e-118,5.577565654403543e-115
11,HSP90AB1,24.913467,2.5739734,8.612649667622996e-112,1.387282545212374e-108
12,HSPA8,24.60524,2.0998552,4.387082342127015e-107,6.522916506997929e-104
13,NEU1,23.99663,3.7626674,1.1018904324875525e-100,1.521317154967993e-97
14,NR4A2,23.129593,2.6855643,1.4630486452659068e-99,1.8852844842896475e-96
15,NR4A1,22.472778,3.5157244,2.91465687960581e-91,3.129855712550039e-88
16,TAGAP,22.145401,2.84341,5.903853962878915e-92,6.712681955793326e-89
17,UBE2S,21.680773,2.7994618,3.485584632080131e-89,3.368643267673842e-86
18,BTG2,21.660564,2.754165,9.432811241965814e-89,8.682228975997963e-86
19,DDX5,21.45558,2.067523,5.078377815453008e-87,4.089998533120466e-84
20,FUS,21.2191,2.3916085,3.489906842327235e-86,2.698256374213725e-83
21,DDX3X,20.958673,2.7762408,1.6959425962370997e-83,1.2608028631794962e-80
22,MALAT1,20.518145,1.4894687,4.3767636211768824e-79,2.917188414956137e-76
23,KLF6,20.205957,2.463846,2.9919692640450866e-79,2.0654204965974098e-76
24,MYADM,20.166153,2.8058732,7.19104787098929e-78,4.483734332204902e-75
25,CD69,20.113733,2.6025229,1.952798706346053e-78,1.258188206498762e-75
26,CITED2,19.718994,2.933414,2.0635208891978682e-74,1.1395941504944455e-71
27,BRD2,19.291391,2.2690592,3.61348085529918e-73,1.9401380958910515e-70
28,PTPRC,18.49533,1.8218124,1.1998398074483311e-67,5.797925909542198e-65
29,TUBB4B,17.871687,2.2107682,4.469521812286833e-64,1.799820564785254e-61
30,RSRP1,17.754923,2.2892962,3.1363970842621564e-63,1.23721263758578e-60
31,JUNB,17.49636,2.1652606,8.682474222088076e-62,3.3564708847748082e-59
32,UBB,17.48183,1.574277,3.755853580181719e-61,1.369752714176084e-58
33,IFNG,17.30727,3.2534418,7.630209272842369e-59,2.58744412341702e-56
34,EGR1,17.118258,3.2968926,3.019164595752744e-57,9.56679220841062e-55
35,SRSF7,17.045006,1.8505894,5.596948186755125e-59,1.9318466339605326e-56
36,ZC3HAV1,16.995708,2.6170301,8.974916827003441e-58,2.8912694558191587e-55
37,SERTAD1,16.65827,2.359612,2.5218975177926354e-56,7.86221889055062e-54
38,KIAA1551,16.589304,2.3642473,8.661138690393825e-56,2.657319837247972e-53
39,EIF5,15.919687,1.9133106,2.7618600246329587e-52,7.414443391129231e-50
40,HSPD1,15.905682,2.1635885,5.7085059489133926e-52,1.5115028970759859e-49
41,UBC,15.799478,1.4071449,3.638058441807599e-51,9.376004216226544e-49
42,SLC38A2,15.166232,2.3491104,1.4777745663216678e-47,3.615684125624243e-45
43,H3F3B,15.14959,1.165129,2.637791283538589e-47,6.294551570310788e-45
44,IFRD1,15.128273,2.3233654,2.478232356719263e-47,5.987719152878329e-45
45,NR4A3,15.078367,2.4517467,8.112247984384691e-47,1.8666862058353774e-44
46,RASGEF1B,14.6789665,2.808312,3.3495609489890334e-44,7.441800411840118e-42
47,IER2,14.484724,1.7950946,3.2727015980361596e-44,7.355587114934992e-42
48,ZFP36L1,14.357289,1.831374,1.7061529707349732e-43,3.705419187790595e-41
49,EIF4A2,14.253159,1.7578391,5.888744360109224e-43,1.25080812897309e-40
50,NEAT1,14.167887,2.0859358,2.6957547402511748e-42,5.663722105903799e-40
51,EIF4A3,13.858716,2.1306,1.397183383187947e-40,2.8729954908127477e-38
52,TSC22D3,13.807545,1.8274068,1.4277694405543953e-40,2.9049847912079904e-38
53,CCNL1,13.746346,2.0479937,4.480202887154947e-40,9.020608500606039e-38
54,CSRNP1,13.741746,2.196322,6.674681514491587e-40,1.3164787652408968e-37
55,MCL1,13.696739,1.7620862,5.255502184369314e-40,1.0472536259966442e-37
56,GADD45B,13.648149,2.1456215,1.7096009394158312e-39,3.3378663189867272e-37
57,ZFP36,13.543835,1.5147275,4.733871681619088e-39,9.150100573401535e-37
58,HSPA5,13.506539,1.8130319,6.245710077580758e-39,1.1952804959362224e-36
59,TUBA1A,13.488379,1.8278532,7.43848409196874e-39,1.4095927354280762e-36
60,ZNF331,13.425105,2.0522025,2.3056645472702376e-38,4.204357550394946e-36
61,SFPQ,13.406105,1.6173004,1.6579874474911722e-38,3.111382463355035e-36
62,STK17B,13.400917,1.7843592,2.1022061100542692e-38,3.907071336657593e-36
63,AHNAK,13.396562,1.8789015,2.417410781828488e-38,4.3669283179404526e-36
64,RALGAPA1,13.332127,2.2485404,1.0679236165356253e-37,1.9112866281497316e-35
65,SLC2A3,13.189228,1.8673662,2.809246558285275e-37,4.936356975008734e-35
66,TNFAIP3,13.148883,1.7305431,3.472248548818129e-37,6.046404702712218e-35
67,HNRNPA2B1,13.080518,1.3664569,8.292527372841306e-37,1.4184624919438018e-34
68,TNFSF9,13.072782,2.461381,2.061661652993585e-36,3.4353325940269835e-34
69,TIPARP,13.06126,2.4481726,3.6721542005536096e-36,6.066587054914591e-34
70,HSPE1,13.006105,1.5331068,1.8262012147550186e-36,3.0694472417391088e-34
71,AC016831.7,12.609543,1.9631362,2.6630938766786873e-34,4.184954596936776e-32
72,ID2,12.457681,1.984206,1.4738806877278604e-33,2.261003159769192e-31
73,EIF4G2,12.444927,1.722951,1.1649887277292691e-33,1.8014453694623234e-31
74,LCP2,12.22365,1.6686708,1.356036337228987e-32,2.0477208095546164e-30
75,CHORDC1,12.165589,1.981941,3.9077250635975656e-32,5.765833416357049e-30
76,H2AFX,12.147792,1.9408828,4.445452160751629e-32,6.509556425391533e-30
77,TNF,12.111223,2.5460074,1.2645514752500274e-31,1.8240683182916254e-29
78,EOMES,12.088505,2.441802,1.4046248287354953e-31,2.011110615898399e-29
79,YPEL5,12.081658,1.4748298,6.031130405558993e-32,8.765091699928554e-30
80,IDS,11.999124,1.787149,2.0048781405459405e-31,2.8494330572509177e-29
81,DYNLL1,11.967483,1.4868053,2.11982757883455e-31,2.9908136694374464e-29
82,SRSF3,11.965059,1.5805961,2.3100187164640853e-31,3.2355327369952397e-29
83,ZFAND2A,11.8602085,2.1054096,1.2234003913966106e-30,1.7012306593744667e-28
84,ATF3,11.772717,2.7694294,6.312454007117749e-30,8.532407238012515e-28
85,STK17A,11.748815,1.4464594,2.2151581474946233e-30,3.0583422737802554e-28
86,SRSF2,11.736247,1.3606229,2.5436140441938122e-30,3.4869160184554754e-28
