,names,scores,logfoldchanges,pvals,pvals_adj
0,HSPA1B,32.624424,5.555559,5.192586808783727e-140,1.0036751042698065e-135
1,FOSB,29.402273,4.740992,1.8445880025849245e-121,1.7827020750982e-117
2,DNAJB1,27.460445,3.7568822,5.0966728245543823e-113,3.2837863008603886e-109
3,HSP90AA1,26.240278,2.928181,6.546410388113871e-103,2.5307113278370603e-99
4,DNAJA1,26.16797,3.1905837,1.9332501518302774e-102,6.227965364121238e-99
5,DUSP1,26.047144,3.862222,1.44828617036428e-106,6.998480846742791e-103
6,HSPA1A,25.234049,4.545796,4.489665872434485e-101,1.239725023546945e-97
7,HSPH1,23.025976,3.5025296,1.884617088639379e-88,4.5534704632888195e-85
8,HSP90AB1,20.556879,2.5434816,1.500258900492115e-72,2.230654175970161e-69
9,FOS,19.62604,3.6023383,3.0613219698598466e-69,3.9448194903613985e-66
10,NR4A2,19.409916,2.9048364,4.997968070428334e-68,6.028323607052425e-65
11,JUN,19.402864,3.2503972,5.30195567902588e-68,6.028323607052425e-65
12,CD69,19.380978,3.2056887,3.715909014872771e-67,3.780252913077673e-64
13,PPP1R15A,19.319569,2.9105537,2.3084070181929532e-67,2.4788444030361996e-64
14,MYADM,19.248064,3.0590196,1.6171903286758368e-66,1.5629335931487625e-63
15,HSPA8,18.687376,1.9019779,7.970028158699442e-61,5.925102856903904e-58
16,KLF6,17.87531,2.9093397,1.9746895136284587e-59,1.272292453630816e-56
17,MALAT1,17.871555,1.8537217,1.829800976343339e-56,9.824506408816778e-54
18,JUNB,17.009752,2.2978153,1.178514367305201e-53,5.423691477533865e-51
19,DDX3X,16.651009,2.7031655,9.265887876971618e-53,4.165124343581033e-50
20,TNFAIP3,16.575113,2.4577687,1.1479222481007519e-52,5.042770257622599e-50
21,NR4A1,16.458597,3.2159889,6.487072471245302e-51,2.786413862148899e-48
22,NEU1,16.445608,3.4267704,7.1676490662283665e-50,3.011814973937567e-47
23,BTG2,16.053581,2.5492973,1.1678769174921267e-49,4.702894362126108e-47
24,HSPD1,15.799491,2.4731188,1.578004304998325e-48,5.865624079098581e-46
25,DDX5,15.560048,1.9561688,6.103032262692816e-47,2.1845464926961005e-44
26,LCP2,15.436859,2.99437,9.538922166317001e-46,3.352324119140751e-43
