,names,scores,logfoldchanges,pvals,pvals_adj
0,CXCL2,11.098062,4.8427887,1.7346458240704615e-16,3.3528969133457952e-12
1,CXCL8,10.393197,4.730211,3.345947726780084e-15,3.233691180546612e-11
2,CXCL3,9.584053,5.610132,7.946762938437439e-13,5.120099361235242e-09
3,PPP1R15A,8.916658,2.6635213,2.0748400821020944e-11,1.0026145986737846e-07
4,IER3,7.9839377,3.037306,1.1521272606488143e-10,4.453893564216186e-07
5,NFKBIZ,7.66501,3.18446,1.4768411714788223e-10,4.757643833919026e-07
6,TNF,7.4863467,4.6431923,2.360691735108547e-09,6.518544363987586e-06
7,CD83,7.099236,2.2429123,5.2589168647817756e-09,1.0164960407936694e-05
8,FOSB,6.950208,2.8256528,3.1741852999811667e-09,7.669228457916997e-06
9,IL1B,6.8507376,3.7903197,4.524404586365724e-09,9.716912916651454e-06
10,PHLDA1,6.4780636,3.2892468,2.632447832852558e-08,3.914044935477469e-05
11,TNFAIP3,6.3731403,2.8706539,2.3095793943895702e-08,3.720155009513e-05
12,HSPA1B,6.2602816,2.3731751,1.3411463668200288e-07,0.0001364369374961281
13,RASGEF1B,6.123596,2.7441425,8.438833186368938e-08,9.594953332901482e-05
14,PLXDC2,6.1226583,2.2574668,6.649013142080494e-08,8.567918334884925e-05
15,XIST,6.110303,2.8332224,1.3270013394444321e-07,0.0001364369374961281
16,AC016831.1,5.9410887,3.7637317,2.4151422027160345e-07,0.00019450951515124262
17,LUCAT1,5.922202,3.7715957,5.98647563892033e-07,0.00037326641169255177
18,ICAM1,5.9197345,2.5461297,1.5589113341251945e-07,0.0001462201559306452
19,THUMPD3-AS1,5.919636,3.2262397,4.116249075603399e-07,0.0002755567342186965
20,CCL3,5.8864107,3.618063,1.5886094855106572e-07,0.0001462201559306452
21,ATF3,5.860437,2.4179318,1.9471640628676782e-07,0.00016363797465725804
22,SOCS3,5.8576097,2.3299096,1.7888974885723267e-07,0.00015717090707552048
23,SLCO2B1,5.8048463,4.4297833,1.316602387956218e-06,0.0007069057654668261
24,PLIN2,5.724714,2.9330792,3.560708955686306e-07,0.000264711320786387
25,EREG,5.6832643,4.4200454,1.285666376711381e-06,0.0007069057654668261
