,names,scores,logfoldchanges,pvals,pvals_adj
74,GNAS,6.4640284,1.0196941,1.7336096265529252e-10,5.0163084538385465e-09
75,KMT2E-AS1,6.4056716,2.0328727,2.7951665338053015e-10,7.887266267433967e-09
76,AC091271.1,6.405492,3.6005538,3.265948744187968e-10,9.12247446190885e-09
77,CDK5RAP3,6.3886695,1.2782578,2.881673982768531e-10,8.084162033807393e-09
78,HIST2H2BF,6.3188205,2.7837684,5.331654962645203e-10,1.4494452710684829e-08
79,WDR74,6.300946,1.475041,5.035747927251778e-10,1.3767464170558646e-08
80,PPP1R15A,6.294816,0.9145953,4.798419848237096e-10,1.3193265611177076e-08
81,GLS,6.257792,1.3063066,6.436744896746122e-10,1.74008170782106e-08
82,GOLGB1,6.2380767,1.3361694,7.184230869060261e-10,1.9367363803077516e-08
83,SLC5A3,6.235303,1.8214759,7.89450120524547e-10,2.116405184413172e-08
84,HSP90AA1,6.139092,0.9571522,1.203796243104524e-09,3.170051441821164e-08
85,NUFIP2,6.1075573,2.1925335,1.7553381757051836e-09,4.529897409640253e-08
86,CSKMT,6.0873594,2.7100997,2.0834746661184967e-09,5.348138356096205e-08
87,HIST1H2AE,6.063156,2.5155592,2.389703026304253e-09,6.093742717075845e-08
88,IGLV2-11,6.035318,3.97147,2.784374401206884e-09,7.007704791787481e-08
89,HSPH1,6.0317273,1.0555881,2.3408137372713297e-09,5.976960201812092e-08
90,ANKRD12,6.0089207,0.9622851,2.760256346888566e-09,6.956061920340168e-08
91,DDX17,5.9751,1.0412744,3.3387154109940493e-09,8.337729997300255e-08
92,RMRP,5.9606566,3.5042157,4.465419670005719e-09,1.0897992020396532e-07
93,AC007384.1,5.9543157,1.3194263,4.032364606596497e-09,9.91623097721421e-08
94,AF213884.3,5.9477825,3.7001376,4.874404456407981e-09,1.179191035518271e-07
95,DNAJB1,5.9361587,0.92956054,4.046363303436266e-09,9.93801223533921e-08
96,KMT2C,5.930684,1.5443783,4.636485096153843e-09,1.1230403561849326e-07
97,POLR2A,5.9158483,1.7149088,5.20841568095696e-09,1.256847274621936e-07
98,MIR29B2CHG,5.90383,2.0432603,5.599908149441699e-09,1.3479529840667323e-07
99,MAPKAPK2,5.901948,1.6996125,5.635939907149218e-09,1.3549388366329258e-07
100,HIST1H3J,5.897709,3.4098015,6.4418568616872636e-09,1.5353224572078066e-07
101,FOXO3,5.883336,1.3674343,5.992707603271253e-09,1.4353537207389102e-07
102,PIEZO1,5.8667636,2.725563,7.366834217022931e-09,1.7428829691656823e-07
103,HIST1H2AG,5.820298,2.4973407,9.61249562456373e-09,2.2493938005713357e-07
104,NXF1,5.7938347,2.0041997,1.029459039242279e-08,2.400291166406998e-07
