,names,scores,logfoldchanges,pvals,pvals_adj
0,DDX3X,17.14752,3.2419593,1.9800464571804418e-47,3.827231797084076e-43
1,FOSB,16.014265,4.222677,4.379777476627758e-41,4.232835942286896e-37
2,NR4A1,14.82325,3.876945,1.1693925537238499e-36,7.534396223642764e-33
3,TNF,14.393605,3.6965046,1.275377487410247e-35,6.023951376013567e-32
4,MCL1,14.100821,2.7988758,1.5582677262180061e-35,6.023951376013567e-32
5,DDX5,13.846234,2.2754738,5.089614850579873e-32,1.2297145680857297e-28
6,MYADM,13.80129,3.076769,4.218476770832014e-34,1.1648419643344572e-30
7,DNAJA1,12.767232,2.570897,3.160200195289042e-30,6.787056619415766e-27
8,PPP1R15A,12.711605,3.1617036,7.959868041033879e-30,1.3220900451680065e-26
9,CD69,12.568808,2.864524,8.207915847698319e-30,1.3220900451680065e-26
10,BTG2,12.497851,2.7115648,1.6853427876664242e-29,2.3268564816288794e-26
11,KLF6,12.419631,2.9240952,3.9608206223076376e-29,5.1039134539056224e-26
12,TAGAP,12.293841,3.2132335,4.118324641785524e-28,4.682535117710141e-25
13,HSP90AA1,12.167405,2.2989647,5.320545859666351e-28,5.713379495638383e-25
14,DUSP1,12.0815115,2.9971557,6.88505997902572e-28,7.004280228136219e-25
15,NFKBIA,11.982235,2.5904622,1.3464087288739468e-27,1.2707650394516329e-24
16,PTGER4,11.921608,2.8158264,5.078300360407852e-27,4.26775946375319e-24
17,NFKBIZ,11.710272,3.1044729,5.556666573280631e-26,4.130954161343897e-23
18,IFNG,11.65932,4.2103324,4.3548786084874145e-25,2.805848287448441e-22
19,KDM6B,11.654938,2.6424577,2.0203109695105834e-26,1.5620236291868026e-23
20,REL,11.647312,2.6960945,1.9041063651342317e-26,1.533519663819982e-23
21,CSRNP1,11.430998,2.5363283,1.56448327149151e-25,1.0799963269521214e-22
22,DNAJB1,11.399901,2.852,1.4641936093120108e-25,1.0481999360885872e-22
23,SLC4A10,11.2901535,3.2711005,3.639016350685536e-24,2.1314711224969916e-21
24,MALAT1,11.254818,1.8612444,3.992861601096291e-23,2.0310005759892162e-20
25,HSP90AB1,11.097524,2.1123657,2.7220538587379507e-24,1.6442055948608079e-21
26,ZC3H12A,11.000238,2.7620118,7.115154062781096e-24,3.92939465369988e-21
27,JUND,10.620072,2.4039247,1.0095552560646e-22,5.0035111652493975e-20
28,EGR1,10.421993,4.33621,1.0236464014480991e-20,3.533225230998269e-18
29,UBC,10.421351,1.6968287,2.4014461556810055e-21,9.472969947583296e-19
30,PDE4B,10.383825,2.3750808,6.128609443688091e-22,2.8892656570011493e-19
31,IL23R,10.342136,3.3457599,7.288723215695209e-21,2.658183604456089e-18
32,HSPH1,10.324602,2.567743,1.262589869221316e-21,5.546499905040641e-19
33,SRGN,10.308634,1.6717612,7.740058222816145e-21,2.720137916160241e-18
34,H3F3B,10.307807,1.2600302,1.1010348049483286e-20,3.733666972780043e-18
35,ID2,10.299513,2.401104,1.038215879023618e-21,4.778017791820837e-19
36,PRNP,10.17968,2.509251,3.8262518709401356e-21,1.4791524482680376e-18
37,PHLDA1,10.178584,3.080606,1.5141791299413317e-20,5.046132483213104e-18
38,ICAM1,10.078809,3.322574,5.231236191936543e-20,1.630880070224862e-17
39,ZNF331,10.0527525,2.23296,6.9364202934314e-21,2.5783474586872218e-18
40,NEU1,10.044955,3.919896,1.6368735452733397e-19,4.7938073873618766e-17
41,HSPE1,9.985257,1.9416475,2.6459293560246892e-20,8.523861420433536e-18
42,HSPA8,9.977666,1.441684,3.324470285736373e-20,1.0534210844753828e-17
43,NFAT5,9.975645,3.1392467,7.584287548778583e-20,2.3269316512752576e-17
44,SERTAD1,9.910989,2.4132826,2.435489250809255e-20,7.978910462524083e-18
45,INSIG1,9.800953,3.095821,2.3664833021593214e-19,6.827127723498138e-17
46,SFPQ,9.703705,1.8383749,1.2665543696044582e-19,3.766342986166858e-17
47,HSPA1B,9.687668,3.588563,5.806155346437643e-19,1.5806644604407496e-16
48,DUSP2,9.6411,2.0008597,3.9543045669363125e-19,1.1240110731516467e-16
49,PMAIP1,9.634478,2.9875982,6.238898676770454e-19,1.674884340601335e-16
50,UBB,9.571422,1.5478171,6.736621053804273e-19,1.7837280595751068e-16
51,NR4A3,9.54855,2.4608161,5.118359663684401e-19,1.433808317961678e-16
52,NFKB1,9.4978895,2.3613918,5.778511782331746e-19,1.5806644604407496e-16
53,NR4A2,9.329586,2.2422993,1.7543601078776235e-18,4.521336870022211e-16
54,DUSP5,9.232741,2.445555,4.368051394762782e-18,1.0964943559658417e-15
55,EZR,9.18325,1.9872699,5.2308973997628345e-18,1.2962566133335362e-15
56,CD8A,9.15363,2.1633668,6.4020609220223935e-18,1.5468179445221354e-15
57,ADGRE5,9.093202,2.2368288,1.1310237961666423e-17,2.6660437751347595e-15
58,UBE2S,9.033309,2.3859425,1.8957926444414966e-17,4.362354288620201e-15
59,SLC7A5,8.967184,2.1401513,2.5513950075449857e-17,5.7344086163763985e-15
60,SQSTM1,8.939037,1.9221274,3.324309902182824e-17,7.301771147646796e-15
61,FUS,8.871175,1.8165939,4.991271889770223e-17,1.071958826192985e-14
62,TNFAIP3,8.792035,1.9332402,8.725127118676569e-17,1.8532745283175757e-14
63,ZFP36,8.747306,1.8831575,1.9980155113109833e-16,4.1526496578634403e-14
64,CCL4,8.704189,2.4638736,1.6293062686433648e-16,3.423137050718217e-14
65,SRSF7,8.626995,1.7394161,4.2669214941377236e-16,8.591179745852922e-14
66,CCL20,8.575862,3.4164455,1.45063950175254e-15,2.6558392621528726e-13
67,TSPYL2,8.569194,3.0522332,1.6121002572783597e-15,2.9121762498068615e-13
68,PNRC1,8.563688,1.6063436,4.7662463233793e-16,9.497605689133865e-14
69,ARGLU1,8.557465,2.2744641,6.287499880114307e-16,1.227586719017469e-13
70,AC016831.7,8.511865,2.2756658,9.022937452355294e-16,1.6932461943356842e-13
71,JUNB,8.469827,1.9898624,8.638708396358996e-16,1.6370352411100297e-13
72,NEAT1,8.442199,2.0486002,1.171759575095029e-15,2.1777827718280591e-13
73,YPEL5,8.320583,1.7895203,2.4541587826666014e-15,4.392262510200253e-13
74,TIPARP,8.320239,2.4173374,4.335875456523506e-15,7.416649265410873e-13
75,STAT4,8.304142,1.9617133,2.9408361971181497e-15,5.214992922394194e-13
76,RALGAPA1,8.265919,2.2296834,5.001221394391897e-15,8.40596594193052e-13
77,RGS2,8.262539,2.1147964,3.886440921560695e-15,6.707233622575596e-13
78,ANKRD37,8.233578,2.5683763,7.795080597664556e-15,1.2877872895064804e-12
79,GADD45B,8.198678,2.0493555,5.689022045147344e-15,9.479578199194226e-13
80,IER5,8.156184,2.286018,1.1668388778940746e-14,1.879485722567881e-12
81,EIF4A3,8.140943,2.1577096,1.0063272395485735e-14,1.6484151875622355e-12
82,TUBB4B,8.100924,1.8092289,1.1044722878018733e-14,1.7939785589010427e-12
83,PTPN22,8.087002,2.2541995,1.578491897046322e-14,2.5215429651246577e-12
84,HCG18,8.067297,2.3782017,2.359477865711548e-14,3.677931263414396e-12
