,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKV1-39,31.394392,9.497548,3.818032283972026e-124,7.37987460168953e-120
1,IGKV1D-39,29.285156,8.684761,2.9434720658819986e-112,2.8447185780716575e-108
2,IGKC,22.36349,4.318421,2.3877302754896708e-83,9.23048769898797e-80
3,IGKV1D-12,18.853558,8.586672,3.1256474086907027e-60,8.630805537511799e-57
4,IGKV1D-33,17.095247,5.8894587,1.765867426393527e-52,3.792494609417832e-49
5,IGKV1-5,16.212719,3.3045993,1.3490963652062835e-51,2.6076683643072252e-48
6,IFITM1,15.996946,1.7128581,2.417620396658232e-51,4.248198604273361e-48
7,PRDX4,15.771141,1.5619935,6.457862358512839e-50,1.0402001793974554e-46
8,CD79A,15.038804,1.7770973,4.720516978830551e-46,6.517348048843979e-43
9,B2M,14.590569,1.1627122,1.3237267469031119e-42,1.5991446431806405e-39
10,TMEM59,14.51243,1.5047195,2.112933445412693e-43,2.7227260377587963e-40
11,IGKV1-6,14.241515,7.165398,7.275027874986193e-39,6.696143514076577e-36
12,SSR4,14.228802,1.3253275,2.21319357188144e-41,2.5164010912291973e-38
13,CYBA,13.86839,1.0343777,9.724115510136365e-40,1.04420793719681e-36
14,SPCS1,13.745932,1.3230027,2.5572785835978312e-39,2.601559881176973e-36
15,IGKV1D-8,13.727223,29.54304,1.4763709018758458e-36,1.1890322150982593e-33
16,TMBIM6,13.214993,1.4371196,7.913770696919951e-37,6.650664078294162e-34
17,IGKV1-17,13.172349,4.820474,3.298987168401233e-35,2.4525431914625937e-32
18,IFI6,12.852178,1.6713792,4.965196301910425e-35,3.5545288636898735e-32
19,COX5A,12.362981,1.410677,9.905960224961868e-33,6.602493282354757e-30
20,SEC11C,11.943459,1.2022977,1.041843572110612e-30,6.712598135108673e-28
21,RPS4X,11.113667,0.94678944,5.66553768093221e-27,2.8818204693352287e-24
22,KRTCAP2,11.065145,1.1263632,6.952550046502013e-27,3.445790765354805e-24
23,EEF1G,10.971972,1.2363359,1.6611973950247385e-26,8.027321112108292e-24
24,IGKV1-12,10.958209,3.0048478,4.322006515572972e-26,1.942792184639767e-23
25,ITM2C,10.601281,1.0876658,6.338964869414467e-25,2.7846784536570966e-22
26,RPL7A,10.547971,0.86407906,1.288318785317595e-24,5.413459522044303e-22
27,NDUFB11,10.411003,1.1221105,3.7243167765899025e-24,1.5316450845682175e-21
28,GABARAP,10.375049,1.16034,5.251034124694393e-24,2.1145258040878733e-21
29,RPL5,10.069755,0.9906896,9.86834841425433e-23,3.814906129982439e-20
30,LMAN2,9.852678,1.1326029,6.563001281989656e-22,2.3935141845203407e-19
31,EEF1A1,9.831545,0.79377145,8.508829747535608e-22,2.9369137533949243e-19
32,TMED10,9.765371,1.093858,1.4474080397331471e-21,4.823612068965862e-19
33,ICAM3,9.75442,1.1848844,1.6786737699083311e-21,5.499505982806463e-19
34,RPLP0,9.67357,0.84876996,3.986169274995076e-21,1.222994697085394e-18
35,ATP5MC3,9.642988,1.2442374,4.371457742299606e-21,1.3202485422017045e-18
36,NACA,9.640256,0.91329426,4.74455099807651e-21,1.410883480643398e-18
37,ERGIC3,9.623543,1.1298474,5.247795657124788e-21,1.5368885190388642e-18
38,RNASET2,9.621078,1.3583592,5.667167297910014e-21,1.6349354731537712e-18
39,RPS14,9.552939,0.8258391,1.1188097337841074e-20,3.089353334901859e-18
40,PSME1,9.520555,1.0654423,1.2773635721281784e-20,3.477487392347262e-18
41,OST4,9.501882,1.0184256,1.5427677850646137e-20,4.141688682988045e-18
42,ATP5MC2,9.466792,1.0678964,2.0559655806533596e-20,5.443802562801204e-18
43,IGHV4-61,9.459715,3.4802785,6.18729008299898e-20,1.4949266251785908e-17
44,ISG20,9.455553,1.0355798,2.26757249281248e-20,5.922960636969247e-18
45,RPS7,9.43929,0.8752749,2.970653417064458e-20,7.655967986458522e-18
46,SEC61B,9.378873,0.90230083,4.8054505855372045e-20,1.1908276201006232e-17
47,CD63,9.373275,1.165787,4.767960304037676e-20,1.1908276201006232e-17
48,PDIA6,9.363079,1.069288,5.076858708122444e-20,1.242159518598718e-17
49,SSR3,9.303579,0.91601974,8.960219894662427e-20,2.138173954863334e-17
50,ICAM2,9.283185,1.3008518,1.1329742329057118e-19,2.6706413351017686e-17
51,IGKV1D-13,9.26064,5.326149,5.628463634601713e-19,1.2504893516461666e-16
52,PRDX5,9.162284,1.0631886,2.885080561076961e-19,6.638776448221022e-17
53,IGKV1-9,9.080913,3.5926151,1.6753993929478477e-18,3.4821284802461234e-16
54,ATP5MG,9.05862,1.037964,6.939772442368594e-19,1.5243052447561654e-16
55,PRDX1,9.031532,1.0136287,8.689750504407574e-19,1.8872380617943145e-16
56,DAD1,8.960333,1.0286444,1.58281846743672e-18,3.3254671909874303e-16
57,COX7A2,8.908779,0.9681452,2.4574292132256054e-18,5.053154176855077e-16
58,PSME2,8.880591,0.9934046,3.0807028851088423e-18,6.265269072218021e-16
59,CUTA,8.879989,1.047988,3.1117276161877492e-18,6.265269072218021e-16
60,IGKV1-27,8.84039,2.8986325,6.574242554938417e-18,1.2337236344116957e-15
61,ARSA,8.839122,1.2247005,4.578019921800309e-18,9.029443578416139e-16
62,HLA-C,8.818319,0.6390802,6.306791506668076e-18,1.206970030023636e-15
63,IGKV1-16,8.79627,2.7570937,6.371769218404882e-18,1.2074502668877253e-15
64,C4orf3,8.7367735,1.1863168,1.084720180096287e-17,1.996814891531536e-15
65,SUB1,8.676944,0.8698858,1.6932717204195575e-17,3.058808325606507e-15
66,COX6A1,8.657632,0.9390568,1.939742289092444e-17,3.471599880172949e-15
67,IGKV1D-16,8.65035,4.391596,4.3486776878524076e-17,7.504963484687428e-15
68,RPL6,8.609467,0.78373384,3.049416792519655e-17,5.4075391910653595e-15
69,RPL23A,8.5949,0.8454122,3.3795566612054386e-17,5.9384955185854475e-15
70,DPEP1,8.581153,1.7504418,4.694676077500925e-17,8.030388840886318e-15
71,IGHV4-28,8.574237,4.090036,8.684362038542357e-17,1.4225426596863154e-14
72,TNFRSF17,8.5089855,1.189255,6.919640382744154e-17,1.16304112137445e-14
