,names,scores,logfoldchanges,pvals,pvals_adj
0,IFITM1,21.488491,2.5300026,2.607744422292991e-88,7.230530213183524e-85
1,ISG20,18.877321,2.359887,2.8046597710298896e-70,3.402227593494945e-67
2,ISG15,17.600342,2.9252598,7.2019036655765e-61,4.99220529447051e-58
3,RPL28,15.307499,0.7118269,3.6962546163659124e-49,1.7497708743669753e-46
4,MX1,15.110206,2.3095784,4.1011938453132846e-47,1.7688904743041233e-44
5,DUSP4,14.536282,2.5105803,4.674113322523231e-44,1.6199975978009532e-41
6,FTH1,13.269526,0.89123607,5.749623945362925e-38,1.6655888232171494e-35
7,LY6E,12.9000845,1.6498917,5.966983839140669e-36,1.5650430991065035e-33
8,RGS1,12.16683,2.0059626,2.9655185488004166e-32,6.852113037341343e-30
9,RGCC,12.125745,1.9448692,5.581297678165781e-32,1.2451426050059729e-29
10,MT2A,12.086125,2.2382643,1.2577334635423427e-31,2.7428481790891377e-29
11,RPL11,12.054316,0.64862084,5.822170945601388e-32,1.2841194986724698e-29
12,GNG5,11.975474,1.6030787,2.0340636065495562e-31,4.2912109282087323e-29
13,IFITM2,11.859932,1.322778,5.922362931529367e-31,1.2228419376388667e-28
14,IFI6,11.689755,2.1055756,6.788326076321008e-30,1.3175462081531444e-27
15,IFI44L,11.4552145,1.8295617,5.222047450586129e-29,9.561765940417564e-27
16,COX5A,11.415784,1.6322674,9.294986305727181e-29,1.6551044881454942e-26
17,CREM,11.381924,1.432791,8.966430765182089e-29,1.6113838400131405e-26
18,RPL39,11.224409,0.74950874,4.263197649337345e-28,7.387893140713262e-26
19,PLSCR1,10.889513,1.9161249,2.3263204576094856e-26,3.612124300939401e-24
20,FAU,10.791682,0.60237265,3.61263665425985e-26,5.564894033534081e-24
21,PSMB9,10.534222,1.1218699,5.272406768502008e-25,7.580158738507813e-23
22,RPL12,10.52701,0.64717114,5.0382686094770885e-25,7.297593689652299e-23
23,IFIT1,10.504298,3.3693395,2.371631881484953e-24,3.1102029180906385e-22
24,DRAP1,10.335908,1.4997921,4.113514790208783e-24,5.322613904210818e-22
25,LGALS9,10.275552,2.0288417,1.009432075681073e-23,1.280527265156467e-21
26,RPS24,10.246838,0.5816557,7.777992212258686e-24,9.997553036273432e-22
27,IRF7,10.103116,1.3907342,3.654786408040886e-23,4.4613678863940595e-21
28,SELENOK,10.085003,1.1937761,3.966746954517754e-23,4.8119119775146926e-21
29,EPSTI1,9.948533,1.4056693,1.6598854497595084e-22,1.9644339447794085e-20
30,SERF2,9.899726,0.8798171,2.182342441694436e-22,2.5516315934245368e-20
31,PSME2,9.892991,1.2360761,2.5662137103353223e-22,2.964740589517754e-20
32,SUB1,9.83996,1.1029805,3.9887357816202577e-22,4.5273317418402093e-20
33,FAM177A1,9.792484,1.5420849,7.529578387434315e-22,8.256586831735176e-20
34,POMP,9.78022,1.3017073,7.262422250053476e-22,8.008883718823178e-20
35,IFI35,9.568549,1.7425946,6.282097389295131e-21,6.45128191686927e-19
36,FOSL2,9.522163,2.3551767,1.1745104011033329e-20,1.1811436463738129e-18
37,ATP5MC2,9.42749,0.91465396,1.6697065998431184e-20,1.6450424059063494e-18
38,USP18,9.394086,2.8060005,4.0489134230896715e-20,3.760065101853944e-18
39,WARS,9.334129,2.0658305,5.525458959538784e-20,5.082636632497073e-18
40,UBE2L6,9.291452,1.3253696,6.265645068174894e-20,5.6904366649452995e-18
41,RSAD2,9.2668295,3.0984113,1.3197108820021815e-19,1.1749664453568964e-17
42,RPL19,9.1701975,0.4648899,1.588789742126017e-19,1.401673641132903e-17
43,IFIT3,9.153591,2.4882727,3.10178118732847e-19,2.6756653806603677e-17
44,B2M,9.066324,0.41602615,3.9724282415991575e-19,3.396513644986698e-17
45,VAMP5,9.020718,2.0616384,8.102116040805301e-19,6.720255138290175e-17
46,RPL18,8.848859,0.53268784,2.5125050960008325e-18,2.0067988233860146e-16
47,RPL30,8.802271,0.48700812,3.7539560952840676e-18,2.9261258575649987e-16
48,CD72,8.767139,1.9939227,6.952849493239542e-18,5.210341923331516e-16
49,RPS13,8.763691,0.5477058,5.204619097398521e-18,3.9927451407671104e-16
50,RPL34,8.421868,0.53174686,8.765056689620039e-17,5.9691573785556255e-15
51,GPR18,8.395218,1.5891912,1.2847669047366648e-16,8.65834751876178e-15
52,RPL36AL,8.372083,0.8647372,1.3296061203477242e-16,8.929524287138055e-15
53,RPS7,8.32607,0.506574,1.912221540556132e-16,1.2666999276673708e-14
54,RHOH,8.321403,1.0518172,2.0331619204832567e-16,1.3422326433557662e-14
55,RPS15A,8.128928,0.49670613,9.174349276009272e-16,5.707209778784101e-14
56,CYTOR,8.110287,2.0849237,1.3147105117727329e-15,8.049595054573179e-14
57,RPLP1,8.107735,0.4161131,1.1100367602183056e-15,6.839588406056219e-14
58,ROMO1,8.093816,1.3401074,1.3631260856981737e-15,8.293703510130362e-14
59,GYPC,8.081414,1.22382,1.4629183286233894e-15,8.845414903505098e-14
60,IFI27,8.04216,2.4506006,2.611216840526457e-15,1.5311512887546223e-13
61,KPNA2,7.948406,1.4339119,4.291329294728965e-15,2.464213321934748e-13
62,TMA7,7.8771853,0.82220656,6.614762670454801e-15,3.721331265821949e-13
63,RPL29,7.8355546,0.5213404,8.956352879572724e-15,4.952531425630399e-13
64,BAG1,7.758068,1.4583656,1.8144916182876897e-14,9.809879615416649e-13
65,GPR137B,7.7393007,2.3300433,2.3727225003308175e-14,1.2548275479269984e-12
66,OAS1,7.7169113,1.406458,2.393821162544785e-14,1.2625455147780364e-12
67,ARPC3,7.68575,0.7317458,2.8056179456179284e-14,1.459899161032128e-12
68,DUSP5,7.664685,1.2188369,3.603777330753812e-14,1.8358455173910955e-12
69,MYL12A,7.655381,0.79762876,3.585578938022622e-14,1.8313816212652916e-12
70,RPS8,7.619919,0.40442386,4.549470131576323e-14,2.2875820151234423e-12
71,SRGN,7.5923195,0.96143675,5.70262737343178e-14,2.816343376359731e-12
72,DHRS9,7.588577,2.6897826,7.566652067413424e-14,3.680730575850304e-12
73,RPS28,7.5780606,0.49349454,6.213102942847014e-14,3.0606628177085705e-12
74,GLRX,7.575988,1.4137152,6.951651859379985e-14,3.398604809539197e-12
75,RGS10,7.5678916,1.478119,7.501423961483511e-14,3.658169288151595e-12
76,EIF2AK2,7.5481243,1.2463558,8.312097580747306e-14,4.013171690167275e-12
77,COX8A,7.5202756,1.0258023,9.935407772466799e-14,4.737993352722558e-12
78,HSBP1,7.5053935,1.2179258,1.1330137914683836e-13,5.337539970536373e-12
79,RPL18A,7.4052424,0.4315516,2.210476590151676e-13,1.0121150231262472e-11
