,names,scores,logfoldchanges,pvals,pvals_adj
0,LY6E,9.560923,4.729043,1.7091525615124571e-12,8.259052465368571e-09
1,HLA-C,8.871992,2.2124982,2.2995151977915477e-12,8.889465851622564e-09
2,IFITM3,8.803353,3.6911411,7.775644698425548e-12,2.5049239395977902e-08
3,FCN1,8.279665,3.7276735,2.2331857651324035e-11,6.166463950606319e-08
4,GABARAP,8.170727,1.2934932,5.175247290468152e-11,1.0003235487745889e-07
5,PSMB9,8.072116,3.0805786,2.8437743577582107e-11,6.310222581208159e-08
6,B2M,8.031,1.0865442,2.938175965175303e-11,6.310222581208159e-08
7,TMSB10,7.830819,1.2450218,7.873792395996555e-11,1.3835684838383402e-07
8,WARS,7.208362,3.726267,1.9716717000553696e-09,2.0058127521247498e-06
9,CYBA,7.1480007,0.94853383,1.0249530847366218e-09,1.2382073859296352e-06
10,PSME2,7.1108565,2.7618468,1.2103366952703717e-09,1.3761528225224125e-06
11,SH3BGRL3,6.841449,1.4110018,3.624446487090364e-09,3.336044102331888e-06
12,APOBEC3A,6.812838,31.476263,1.0554924993257186e-07,5.829032719847661e-05
13,LGALS9,6.597305,2.2239506,9.650020191626874e-09,8.109793055824166e-06
14,OAZ1,6.592207,1.5633472,1.0233391336536719e-08,8.24171754766326e-06
15,RARRES3,6.550222,3.6644425,4.313655097352653e-08,2.6896335282815944e-05
16,IFITM2,6.3778625,2.932922,4.191645680499129e-08,2.6896335282815944e-05
17,IFITM1,6.2905498,6.3718147,3.7421843904668795e-07,0.0001360404481549616
18,PSMB10,6.2892814,2.3523576,3.892468310814808e-08,2.59439724068067e-05
19,GSTP1,6.144541,1.6952376,6.293091978683494e-08,3.577622789881566e-05
20,VAMP5,6.0932746,3.365343,1.2892337217957344e-07,6.229899652147437e-05
21,PRELID1,6.0862765,2.4312546,1.169278613594127e-07,5.947627979516022e-05
22,S100A9,6.079662,3.4067752,1.546737728401003e-07,7.291925256649509e-05
23,TYROBP,6.0529513,1.1074377,2.230563741783202e-07,9.777134658720097e-05
24,CD48,6.0252895,2.495716,1.0857448951419243e-07,5.829545299499515e-05
25,CFP,6.0218797,30.700378,1.018843175905203e-06,0.0003079733002401431
26,GBP1,5.9655366,3.7424374,2.7991643195067844e-07,0.00011761966767771006
27,IFI6,5.9067464,3.263732,4.941442406882437e-07,0.00017055917907612614
28,ISG15,5.820785,3.427391,3.705542551621031e-07,0.0001360404481549616
29,IFI30,5.73991,2.3459415,3.781022556004491e-07,0.0001360404481549616
30,CARD16,5.7233343,2.3405373,3.2284915265893806e-07,0.0001300073181613461
31,EPSTI1,5.7023764,2.8325415,6.394829747190367e-07,0.0002168520424270923
32,PFN1,5.546437,1.0651861,6.675205428380377e-07,0.00022245697538821434
33,S100A6,5.4857383,1.30354,7.523796071434846e-07,0.00024648721061824435
34,PSME1,5.481589,1.693991,7.943442536387451e-07,0.00025589800130972176
35,RAB5IF,5.452934,2.2764795,1.0197263808458356e-06,0.0003079733002401431
36,HLA-A,5.452413,1.0377747,1.1477787650519276e-06,0.0003311256082043091
37,NCF1,5.4182363,2.7095096,1.3762867267213595e-06,0.00039120950207054643
38,UBE2L6,5.414945,2.4111755,1.649850355751399e-06,0.0004491543313566027
39,PYCARD,5.378647,1.6987642,1.1413599042580459e-06,0.0003311256082043091
40,CD52,5.3635197,2.8412983,1.8123872683346883e-06,0.0004865504654116832
41,LGALS2,5.3006206,3.9551578,4.700530266134494e-06,0.0010472372258183752
42,DYNLT1,5.2120547,2.0032034,2.3640050991194805e-06,0.0006012349284326374
43,MT2A,5.175304,2.5746682,2.9694194946895383e-06,0.0007358449924724882
44,OAS1,5.1487684,5.0598083,1.0031027255958852e-05,0.0019197002557468181
45,RPS9,5.123776,0.74351245,3.0144346820582324e-06,0.0007375444046772605
46,RPL12,5.0535374,0.9123744,4.713624018117784e-06,0.0010472372258183752
47,GAPDH,4.992667,1.10501,6.439402913524209e-06,0.001341270866812396
48,GRINA,4.9592977,1.8803823,5.567278093482901e-06,0.0011956657585436778
49,UQCRFS1,4.957172,2.3906589,7.299097520485133e-06,0.0015008963401431609
50,TIMP1,4.921297,2.3016744,6.429479496739034e-06,0.001341270866812396
51,S100A12,4.891628,4.6096373,2.076835368116369e-05,0.0034427155198094705
52,PSAP,4.8472815,0.9830564,8.862660363264353e-06,0.0017660449707374917
53,PPDPF,4.7914863,1.7390002,1.0563932813113846e-05,0.002001865268085074
54,SECTM1,4.735237,3.0044992,2.2305001150515556e-05,0.0036229694725908837
55,IRF7,4.7345023,2.434623,1.62941453869105e-05,0.0028120494302106523
56,COX5B,4.7310786,1.2706989,1.3587770835765644e-05,0.002431833541523279
57,LIMD2,4.6919675,2.0342813,1.577012608429252e-05,0.0027461330367863973
58,CLIC1,4.69084,1.2559683,1.479664114815968e-05,0.002623892447273197
59,RPL19,4.5887885,0.7734044,2.3140631608042918e-05,0.003718001330635416
60,S100A8,4.547044,2.8146372,3.772898913694257e-05,0.005653206442077232
61,RAB24,4.520586,2.8142421,4.0114575214873755e-05,0.005874050184305264
62,TNFRSF14,4.499151,2.1488216,3.5743357173992226e-05,0.0054400263843787065
63,RPL28,4.48535,0.7791658,3.608857880025842e-05,0.005449657340860898
64,ALDOA,4.431903,1.4649824,3.840879880796786e-05,0.005710797478147775
65,MX2,4.4300437,3.2483876,6.498357323508852e-05,0.008486942480142068
66,TYMP,4.423772,1.3784946,3.920346969308065e-05,0.0057844569900576785
67,SERF2,4.420567,0.9353915,5.774694837037828e-05,0.007697867345179598
68,SARNP,4.4010415,4.22401,8.339918303753948e-05,0.01046768057748442
69,PSMB8,4.352799,1.9097877,5.3801075026300516e-05,0.00722167346655113
70,CTSS,4.3502994,1.2244574,5.054341351770583e-05,0.007050297739061555
71,UQCR11,4.336391,1.6011062,5.236853296611909e-05,0.0071185791149238516
72,SLC25A6,4.3069363,1.1368227,5.847691533623342e-05,0.007722485791787113
73,PPA1,4.3019686,2.0491679,7.793791699521301e-05,0.00991093419473995
74,TMEM230,4.2662916,2.1730769,8.727584067052731e-05,0.01074493454981288
75,CXCL10,4.26009,5.0793543,0.00014388745855906134,0.01616977143307033
76,FCER1G,4.227974,1.0616133,8.197134110736896e-05,0.010355712759897611
77,LILRA5,4.211885,29.416908,0.00019242615659317743,0.019679392490949875
78,CALHM6,4.209937,1.8557072,8.788065004617545e-05,0.010750918257864084
79,SERPING1,4.180629,2.8018157,0.00014290669328816767,0.016153470611502883
80,PGD,4.149804,1.8790379,0.00010324892472172324,0.0123956426456285
81,RNASEK,4.148866,1.0355977,0.00010730127262878055,0.012724087721728216
82,HLA-B,4.1342998,0.6867629,0.00010561893741147625,0.012601903958187805
83,STAT1,4.121739,2.1708162,0.00011075587562047804,0.013053660487001342
84,TAP1,4.0694637,2.539415,0.0001707905264862782,0.018138516958534457
85,MYL6,4.0679684,0.7467582,0.00013453491044571883,0.015429650222985062
86,RPL41,4.0373044,0.9027919,0.00016268938720705,0.0173736086482048
87,COX6A1,4.016042,1.1726792,0.0001580200150405737,0.016968715948440273
88,GSTO1,3.9885068,1.6505936,0.00018174118336526497,0.018988515314957873
89,SLC35A4,3.9833078,3.1774364,0.00027200538720398976,0.025899468617073488
90,MYD88,3.971529,2.2994285,0.0002529953486008258,0.024573603482941513
91,MX1,3.9697018,2.1370156,0.00023232762450371277,0.02314773533006322
92,COX4I1,3.967712,0.87702626,0.00018961092067379845,0.01949462492395665
93,PLAC8,3.9465244,3.4395194,0.000304867813793907,0.027473894766456206
94,POMP,3.9299204,1.358958,0.0002168645205227687,0.021832157902003105
95,UCP2,3.9283779,1.756717,0.00021452201217535158,0.02182366301756511
96,ISG20,3.9252954,2.596364,0.0002782980657234291,0.026240113718869074
97,PLSCR1,3.892305,1.3867375,0.0002447299273773026,0.0240221947295876
98,NDUFB4,3.8889484,1.608236,0.0002637234585985208,0.025235201639855487
