,Unnamed: 0,from,to,source,database
10,11,CXCL10,CXCR3,kegg_cytokines,kegg
71,72,IL23A,IL12RB1,kegg_cytokines,kegg
72,73,IL23A,IL23R,kegg_cytokines,kegg
83,84,IL7,IL7R,kegg_cytokines,kegg
84,85,IL7,IL2RG,kegg_cytokines,kegg
125,126,IFNG,IFNGR2,kegg_cytokines,kegg
126,127,IFNG,IFNGR1,kegg_cytokines,kegg
143,144,TNFSF10,TNFRSF10A,kegg_cytokines,kegg
144,145,TNFSF10,TNFRSF10B,kegg_cytokines,kegg
146,147,TNFSF10,TNFRSF10D,kegg_cytokines,kegg
151,152,TNF,TNFRSF1B,kegg_cytokines,kegg
152,153,TNF,TNFRSF1A,kegg_cytokines,kegg
157,158,LTB,LTBR,kegg_cytokines,kegg
164,165,CD70,CD27,kegg_cytokines,kegg
166,167,TNFSF9,TNFRSF9,kegg_cytokines,kegg
173,174,TNFSF13B,TNFRSF13C,kegg_cytokines,kegg
228,229,CD58,CD2,kegg_cams,kegg
229,230,CD80,CD28,kegg_cams,kegg
230,231,CD80,CTLA4,kegg_cams,kegg
234,235,HLA-A,CD8A,kegg_cams,kegg
242,243,ICAM1,ITGB2,kegg_cams,kegg
243,244,ICAM1,ITGAL,kegg_cams,kegg
245,246,ITGAM,ICAM1,kegg_cams,kegg
246,247,ITGB1,VCAM1,kegg_cams,kegg
247,248,ITGA4,VCAM1,kegg_cams,kegg
262,263,ALCAM,CD6,kegg_cams,kegg
263,264,PTPRC,CD22,kegg_cams,kegg
264,265,CD40,CD40LG,kegg_cams,kegg
271,272,JAM3,JAM3,kegg_cams,kegg
275,276,JAM3,ITGB2,kegg_cams,kegg
276,277,JAM3,ITGAM,kegg_cams,kegg
282,283,ICAM3,ITGB2,kegg_cams,kegg
283,284,ICAM3,ITGAL,kegg_cams,kegg
291,292,SELL,MADCAM1,kegg_cams,kegg
311,312,CD80,CD274,kegg_cams,kegg
445,446,CALM1,PDE1B,pharmacology,guide2pharmacology
447,448,CALM1,MYLK,pharmacology,guide2pharmacology
459,460,CALM2,PDE1B,pharmacology,guide2pharmacology
461,462,CALM2,MYLK,pharmacology,guide2pharmacology
507,508,RPS19,C5AR1,pharmacology,guide2pharmacology
531,532,CXCL10,CXCR3,pharmacology,guide2pharmacology
586,587,CD70,CD27,pharmacology,guide2pharmacology
725,726,TNFSF10,TNFRSF10B,pharmacology,guide2pharmacology
726,727,TNFSF10,TNFRSF10A,pharmacology,guide2pharmacology
730,731,TNFSF13B,TNFRSF13C,pharmacology,guide2pharmacology
739,740,TNF,TNFRSF1A,pharmacology,guide2pharmacology
740,741,TNF,TNFRSF1B,pharmacology,guide2pharmacology
745,746,TNFSF9,TNFRSF9,pharmacology,guide2pharmacology
827,828,ADAM17,ITGA5,ramilowski_known,ramilowski
828,829,ADAM17,ITGB1,ramilowski_known,ramilowski
846,847,ADM,CALCRL,ramilowski_known,ramilowski
849,850,ADM,RAMP2,ramilowski_known,ramilowski
960,961,CALM1,MYLK,ramilowski_known,ramilowski
963,964,CALM1,PDE1B,ramilowski_known,ramilowski
965,966,CALM2,MYLK,ramilowski_known,ramilowski
968,969,CALM2,PDE1B,ramilowski_known,ramilowski
1055,1056,CD70,CD27,ramilowski_known,ramilowski
1114,1115,CXCL10,CXCR3,ramilowski_known,ramilowski
1226,1227,EFNB2,EPHA4,ramilowski_known,ramilowski
1229,1230,EFNB2,EPHB3,ramilowski_known,ramilowski
1230,1231,EFNB2,EPHB4,ramilowski_known,ramilowski
1231,1232,EFNB2,EPHB6,ramilowski_known,ramilowski
1397,1398,HLA-A,KIR3DL2,ramilowski_known,ramilowski
1400,1401,HLA-C,KIR2DL3,ramilowski_known,ramilowski
1402,1403,HLA-E,KLRC1,ramilowski_known,ramilowski
1403,1404,HLA-E,KLRC2,ramilowski_known,ramilowski
1404,1405,HLA-E,KLRD1,ramilowski_known,ramilowski
1409,1410,HSP90B1,LRP1,ramilowski_known,ramilowski
1412,1413,ICAM1,ITGAL,ramilowski_known,ramilowski
1413,1414,ICAM1,ITGAX,ramilowski_known,ramilowski
1414,1415,ICAM1,ITGB2,ramilowski_known,ramilowski
1417,1418,ICAM3,ITGAL,ramilowski_known,ramilowski
1418,1419,ICAM3,ITGB2,ramilowski_known,ramilowski
1455,1456,IFNG,IFNGR1,ramilowski_known,ramilowski
1456,1457,IFNG,IFNGR2,ramilowski_known,ramilowski
1509,1510,IL23A,IL12RB1,ramilowski_known,ramilowski
1510,1511,IL23A,IL23R,ramilowski_known,ramilowski
1529,1530,IL7,IL2RG,ramilowski_known,ramilowski
1530,1531,IL7,IL7R,ramilowski_known,ramilowski
1590,1591,LRPAP1,LRP1,ramilowski_known,ramilowski
1595,1596,LTB,CD40,ramilowski_known,ramilowski
1596,1597,LTB,LTBR,ramilowski_known,ramilowski
1755,1756,PSAP,LRP1,ramilowski_known,ramilowski
1756,1757,PSEN1,NCSTN,ramilowski_known,ramilowski
1793,1794,RPS19,C5AR1,ramilowski_known,ramilowski
1808,1809,RTN4,RTN4R,ramilowski_known,ramilowski
1830,1831,SEMA7A,PLXNC1,ramilowski_known,ramilowski
1887,1888,TNFSF10,TNFRSF10A,ramilowski_known,ramilowski
1888,1889,TNFSF10,TNFRSF10B,ramilowski_known,ramilowski
1890,1891,TNFSF10,TNFRSF10D,ramilowski_known,ramilowski
1897,1898,TNFSF13B,TNFRSF13C,ramilowski_known,ramilowski
1908,1909,TNFSF9,TNFRSF9,ramilowski_known,ramilowski
1909,1910,TNF,LTBR,ramilowski_known,ramilowski
1910,1911,TNF,TNFRSF1A,ramilowski_known,ramilowski
1911,1912,TNF,TNFRSF1B,ramilowski_known,ramilowski
1912,1913,TNF,TNFRSF21,ramilowski_known,ramilowski
1989,1990,CALR,TSHR,ppi_lr,ppi_prediction
2002,2003,TNF,TRAF2,ppi_lr,ppi_prediction
2020,2021,HBEGF,CD44,ppi_lr,ppi_prediction
2044,2045,EFNB2,SDC2,ppi_lr,ppi_prediction
2051,2052,TNF,DAG1,ppi_lr,ppi_prediction
2053,2054,TNF,NEO1,ppi_lr,ppi_prediction
2055,2056,RTN4,NTRK1,ppi_lr,ppi_prediction
2056,2057,CALR,NTRK1,ppi_lr,ppi_prediction
2058,2059,EFNB2,SDC1,ppi_lr,ppi_prediction
