,Unnamed: 0,from,to,source,database
2060,2061,HBEGF,ERBB2,ppi_lr,ppi_prediction
2062,2063,HBEGF,PRLR,ppi_lr,ppi_prediction
2071,2072,EFNB2,LRP6,ppi_lr,ppi_prediction
2072,2073,EFNB2,FZD6,ppi_lr,ppi_prediction
2074,2075,EFNB2,INSR,ppi_lr,ppi_prediction
2076,2077,EFNB2,FZD5,ppi_lr,ppi_prediction
2077,2078,EFNB2,LRP8,ppi_lr,ppi_prediction
2090,2091,EFNB2,LRP2,ppi_lr,ppi_prediction
2101,2102,CALR,FAS,ppi_lr,ppi_prediction
2104,2105,ANXA1,HMMR,ppi_lr,ppi_prediction
2112,2113,CALR,LRP5,ppi_lr,ppi_prediction
2113,2114,CALR,HMMR,ppi_lr,ppi_prediction
2115,2116,ANXA1,DDR2,ppi_lr,ppi_prediction
2119,2120,RTN4,FZD6,ppi_lr,ppi_prediction
2123,2124,CALR,CD44,ppi_lr,ppi_prediction
2127,2128,APP,TGFBR2,ppi_lr,ppi_prediction
2135,2136,PSEN1,NOTCH1,ppi_lr,ppi_prediction
2137,2138,ADAM17,NOTCH1,ppi_lr,ppi_prediction
2171,2172,ADAM17,IL6R,ppi_lr,ppi_prediction
2193,2194,LRPAP1,LRP2,ppi_lr,ppi_prediction
2198,2199,APP,SDC1,ppi_lr,ppi_prediction
2199,2200,APP,LRP1,ppi_lr,ppi_prediction
2201,2202,APP,NCSTN,ppi_lr,ppi_prediction
2202,2203,APP,NGFR,ppi_lr,ppi_prediction
2204,2205,APP,GPC1,ppi_lr,ppi_prediction
2208,2209,CALR,LRP1,ppi_lr,ppi_prediction
2220,2221,HSP90B1,TNFRSF1B,ppi_lr,ppi_prediction
2221,2222,CALM1,TNFRSF1B,ppi_lr,ppi_prediction
2229,2230,PSEN1,NOTCH4,ppi_lr,ppi_prediction
2230,2231,PSEN1,NOTCH3,ppi_lr,ppi_prediction
2231,2232,PSEN1,NOTCH2,ppi_lr,ppi_prediction
2240,2241,TNFSF9,TRAF2,ppi_lr,ppi_prediction
2242,2243,CALM1,TRAF2,ppi_lr,ppi_prediction
2253,2254,CALM1,FAS,ppi_lr,ppi_prediction
2276,2277,CALM1,TNFRSF1A,ppi_lr,ppi_prediction
2300,2301,LRPAP1,SORT1,ppi_lr,ppi_prediction
2306,2307,LRPAP1,SORL1,ppi_lr,ppi_prediction
2314,2315,CALM1,VIPR1,ppi_lr,ppi_prediction
2322,2323,LRPAP1,LRP8,ppi_lr,ppi_prediction
2324,2325,LRPAP1,VLDLR,ppi_lr,ppi_prediction
2752,2753,SEMA7A,ITGA1,ppi_lr,ppi_prediction
3960,3961,TNF,FAS,ppi_lr,ppi_prediction
3961,3962,TNF,FLT4,ppi_lr,ppi_prediction
4087,4088,CXCL10,C5AR1,ppi_lr,ppi_prediction
4100,4101,CXCL10,CCR1,ppi_lr,ppi_prediction
4101,4102,CXCL10,CCR7,ppi_lr,ppi_prediction
4102,4103,CXCL10,CXCR5,ppi_lr,ppi_prediction
4103,4104,CXCL10,SSTR3,ppi_lr,ppi_prediction
4109,4110,CXCL10,OPRL1,ppi_lr,ppi_prediction
4110,4111,CXCL10,CCR2,ppi_lr,ppi_prediction
4111,4112,CXCL10,CCR10,ppi_lr,ppi_prediction
4121,4122,CXCL10,CCR4,ppi_lr,ppi_prediction
4122,4123,CXCL10,CCR5,ppi_lr,ppi_prediction
4123,4124,CXCL10,CCR6,ppi_lr,ppi_prediction
4124,4125,CXCL10,CCR8,ppi_lr,ppi_prediction
4126,4127,CXCL10,CXCR4,ppi_lr,ppi_prediction
4128,4129,CXCL10,P2RY14,ppi_lr,ppi_prediction
4130,4131,CXCL10,C3AR1,ppi_lr,ppi_prediction
4136,4137,CXCL10,NMUR1,ppi_lr,ppi_prediction
4137,4138,CXCL10,LPAR2,ppi_lr,ppi_prediction
4140,4141,CXCL10,PTGDR2,ppi_lr,ppi_prediction
4152,4153,ANXA1,C5AR1,ppi_lr,ppi_prediction
4159,4160,ANXA1,F2R,ppi_lr,ppi_prediction
4175,4176,ANXA1,NTSR1,ppi_lr,ppi_prediction
4179,4180,ANXA1,CCR1,ppi_lr,ppi_prediction
4180,4181,ANXA1,CCR7,ppi_lr,ppi_prediction
4181,4182,ANXA1,CXCR5,ppi_lr,ppi_prediction
4182,4183,ANXA1,SSTR3,ppi_lr,ppi_prediction
4188,4189,ANXA1,BMPR1A,ppi_lr,ppi_prediction
4192,4193,ANXA1,OPRL1,ppi_lr,ppi_prediction
4193,4194,ANXA1,HTR2B,ppi_lr,ppi_prediction
4194,4195,ANXA1,CCR2,ppi_lr,ppi_prediction
4195,4196,ANXA1,CCR10,ppi_lr,ppi_prediction
4206,4207,ANXA1,CXCR3,ppi_lr,ppi_prediction
4210,4211,ANXA1,CCR4,ppi_lr,ppi_prediction
4211,4212,ANXA1,CCR5,ppi_lr,ppi_prediction
4212,4213,ANXA1,CCR6,ppi_lr,ppi_prediction
4213,4214,ANXA1,CCR8,ppi_lr,ppi_prediction
4215,4216,ANXA1,F2RL1,ppi_lr,ppi_prediction
4216,4217,ANXA1,CXCR4,ppi_lr,ppi_prediction
4218,4219,ANXA1,P2RY14,ppi_lr,ppi_prediction
4220,4221,ANXA1,C3AR1,ppi_lr,ppi_prediction
4227,4228,ANXA1,KISS1R,ppi_lr,ppi_prediction
4235,4236,ANXA1,NMUR1,ppi_lr,ppi_prediction
4236,4237,ANXA1,LPAR2,ppi_lr,ppi_prediction
4241,4242,ANXA1,PTGDR2,ppi_lr,ppi_prediction
4286,4287,HLA-A,NTRK1,ppi_lr,ppi_prediction
4287,4288,HLA-A,ERBB3,ppi_lr,ppi_prediction
4288,4289,HLA-A,BMPR1A,ppi_lr,ppi_prediction
4289,4290,HLA-A,PTCH1,ppi_lr,ppi_prediction
4294,4295,APP,IGF1R,ppi_lr,ppi_prediction
4296,4297,APP,ALOX5,ppi_lr,ppi_prediction
4300,4301,APP,C5AR1,ppi_lr,ppi_prediction
4302,4303,APP,ITGA6,ppi_lr,ppi_prediction
4309,4310,APP,F2R,ppi_lr,ppi_prediction
4327,4328,APP,NTSR1,ppi_lr,ppi_prediction
4331,4332,APP,CCR1,ppi_lr,ppi_prediction
4332,4333,APP,CCR7,ppi_lr,ppi_prediction
4333,4334,APP,CXCR5,ppi_lr,ppi_prediction
4334,4335,APP,SSTR3,ppi_lr,ppi_prediction
4343,4344,APP,OPRL1,ppi_lr,ppi_prediction
4344,4345,APP,VIPR2,ppi_lr,ppi_prediction
4345,4346,APP,HTR2B,ppi_lr,ppi_prediction
4346,4347,APP,CCR2,ppi_lr,ppi_prediction
4347,4348,APP,CCR10,ppi_lr,ppi_prediction
4349,4350,APP,NOTCH1,ppi_lr,ppi_prediction
4359,4360,APP,CXCR3,ppi_lr,ppi_prediction
4363,4364,APP,CCR4,ppi_lr,ppi_prediction
4364,4365,APP,CCR5,ppi_lr,ppi_prediction
4365,4366,APP,CCR6,ppi_lr,ppi_prediction
4366,4367,APP,CCR8,ppi_lr,ppi_prediction
4369,4370,APP,EPHB4,ppi_lr,ppi_prediction
4370,4371,APP,F2RL1,ppi_lr,ppi_prediction
4371,4372,APP,CXCR4,ppi_lr,ppi_prediction
4372,4373,APP,LRP2,ppi_lr,ppi_prediction
4376,4377,APP,P2RY14,ppi_lr,ppi_prediction
4379,4380,APP,C3AR1,ppi_lr,ppi_prediction
4384,4385,APP,SORL1,ppi_lr,ppi_prediction
4385,4386,APP,NRCAM,ppi_lr,ppi_prediction
4387,4388,APP,TNFRSF14,ppi_lr,ppi_prediction
4388,4389,APP,KISS1R,ppi_lr,ppi_prediction
4390,4391,APP,ROBO3,ppi_lr,ppi_prediction
4398,4399,APP,NMUR1,ppi_lr,ppi_prediction
4399,4400,APP,LPAR2,ppi_lr,ppi_prediction
4404,4405,APP,PTGDR2,ppi_lr,ppi_prediction
4562,4563,PSAP,SORT1,ppi_lr,ppi_prediction
4580,4581,NMB,F2R,ppi_lr,ppi_prediction
4588,4589,NMB,NTSR1,ppi_lr,ppi_prediction
4594,4595,NMB,HTR2B,ppi_lr,ppi_prediction
4599,4600,NMB,F2RL1,ppi_lr,ppi_prediction
4605,4606,NMB,KISS1R,ppi_lr,ppi_prediction
4612,4613,NMB,NMUR1,ppi_lr,ppi_prediction
4613,4614,NMB,LPAR2,ppi_lr,ppi_prediction
5037,5038,HLA-E,ITGA6,ppi_lr,ppi_prediction
5038,5039,HLA-E,KLRK1,ppi_lr,ppi_prediction
5039,5040,HLA-E,PLXNA3,ppi_lr,ppi_prediction
5040,5041,HLA-E,EPHB4,ppi_lr,ppi_prediction
5086,5087,HSP90B1,BMPR1A,ppi_lr,ppi_prediction
5087,5088,HSP90B1,AMFR,ppi_lr,ppi_prediction
5508,5509,CALR,NCSTN,ppi_lr,ppi_prediction
5541,5542,ADM,VIPR2,ppi_lr,ppi_prediction
5546,5547,ADM,GIPR,ppi_lr,ppi_prediction
5550,5551,ADM,MC1R,ppi_lr,ppi_prediction
5675,5676,PSEN1,DAG1,ppi_lr,ppi_prediction
5676,5677,TNFSF10,TRAF2,ppi_lr,ppi_prediction
5741,5742,ADAM17,PTCH1,ppi_lr,ppi_prediction
5790,5791,LTB,TRAF2,ppi_lr,ppi_prediction
5962,5963,ANXA1,CD4,ppi_lr,ppi_prediction
5966,5967,TNF,NRP1,ppi_lr,ppi_prediction
5984,5985,ANXA1,PTPRF,ppi_lr,ppi_prediction
5993,5994,ANXA1,ERBB2,ppi_lr,ppi_prediction
6000,6001,CALR,MYLK,ppi_lr,ppi_prediction
6001,6002,ANXA1,FAS,ppi_lr,ppi_prediction
6002,6003,RTN4,CD44,ppi_lr,ppi_prediction
6003,6004,ANXA1,CD44,ppi_lr,ppi_prediction
6008,6009,CALM1,INSR,ppi_lr,ppi_prediction
6011,6012,CALR,IL7R,ppi_lr,ppi_prediction
6016,6017,CALR,CD40,ppi_lr,ppi_prediction
6019,6020,HSP90B1,ERBB2,ppi_lr,ppi_prediction
6020,6021,PSAP,ERBB2,ppi_lr,ppi_prediction
6027,6028,APP,TNFRSF21,ppi_lr,ppi_prediction
6035,6036,CALR,ITGA3,ppi_lr,ppi_prediction
6037,6038,CALR,ITGAV,ppi_lr,ppi_prediction
6039,6040,PSEN1,TGFBR1,ppi_lr,ppi_prediction
6055,6056,CALM1,HMMR,ppi_lr,ppi_prediction
6059,6060,RPS19,RPSA,ppi_lr,ppi_prediction
6060,6061,CALM1,RPSA,ppi_lr,ppi_prediction
6061,6062,LTB,TNFRSF1A,ppi_lr,ppi_prediction
6079,6080,LRPAP1,LDLR,ppi_lr,ppi_prediction
6083,6084,HLA-E,CD8A,ppi_lr,ppi_prediction
6107,6108,ANXA1,F2RL2,ppi_lr,ppi_prediction
6108,6109,APP,F2RL2,ppi_lr,ppi_prediction
6112,6113,NMB,F2RL2,ppi_lr,ppi_prediction
6149,6150,CXCL10,CXCR6,ppi_lr,ppi_prediction
6150,6151,ANXA1,CXCR6,ppi_lr,ppi_prediction
6151,6152,APP,CXCR6,ppi_lr,ppi_prediction
6183,6184,HLA-E,PLXNB2,ppi_lr,ppi_prediction
6201,6202,CXCL10,GALR2,ppi_lr,ppi_prediction
6202,6203,ANXA1,GALR2,ppi_lr,ppi_prediction
6203,6204,APP,GALR2,ppi_lr,ppi_prediction
6356,6357,ADM,RAMP1,ppi_lr,ppi_prediction
6382,6383,TNF,PLXNA2,ppi_lr,ppi_prediction
6394,6395,APP,IL18RAP,ppi_lr,ppi_prediction
6460,6461,HSP90B1,LDLR,ppi_lr,ppi_prediction
6464,6465,RPS19,CD4,ppi_lr,ppi_prediction
6475,6476,HSP90B1,NTRK1,ppi_lr,ppi_prediction
6492,6493,PSEN1,NGFR,ppi_lr,ppi_prediction
6493,6494,ADAM17,NGFR,ppi_lr,ppi_prediction
6494,6495,RTN4,NGFR,ppi_lr,ppi_prediction
6496,6497,CALR,ITGA5,ppi_lr,ppi_prediction
6526,6527,HSP90B1,KIT,ppi_lr,ppi_prediction
6538,6539,ADM,TSHR,ppi_lr,ppi_prediction
6548,6549,ADAM17,TNFRSF1A,ppi_lr,ppi_prediction
6549,6550,ADAM17,TNFRSF1B,ppi_lr,ppi_prediction
6582,6583,EFNB2,EPHA1,ppi_lr,ppi_prediction
6606,6607,HBEGF,ERBB3,ppi_lr,ppi_prediction
6632,6633,ADM,HRH2,ppi_lr,ppi_prediction
7058,7059,ADM,VIPR1,ppi_lr,ppi_prediction
7238,7239,EFNB2,FLT4,ppi_lr,ppi_prediction
7736,7737,TNFSF13B,TRAF2,ppi_lr,ppi_prediction
7901,7902,EFNB2,CD99,ppi_l_bidir,ppi_prediction
7928,7929,SEMA7A,ITGB1,ppi_l_bidir,ppi_prediction
7936,7937,ANXA1,ITGA4,ppi_l_bidir,ppi_prediction
7937,7938,ANXA1,VCAM1,ppi_l_bidir,ppi_prediction
7938,7939,APP,NCAM1,ppi_l_bidir,ppi_prediction
7945,7946,CD24,L1CAM,ppi_l_bidir,ppi_prediction
7951,7952,RTN4,CD99,ppi_l_bidir,ppi_prediction
7957,7958,PSEN1,CDH1,ppi_l_bidir,ppi_prediction
7966,7967,RTN4,CNTNAP1,ppi_l_bidir,ppi_prediction
7967,7968,EFNB2,PECAM1,ppi_l_bidir,ppi_prediction
7971,7972,RPS19,ICAM1,ppi_l_bidir,ppi_prediction
7974,7975,HSP90B1,ITGB1,ppi_l_bidir,ppi_prediction
7977,7978,PSEN1,ITGB1,ppi_l_bidir,ppi_prediction
7979,7980,LTB,ITGB1,ppi_l_bidir,ppi_prediction
7980,7981,TNFSF13B,ITGB1,ppi_l_bidir,ppi_prediction
7989,7990,TNFSF9,ICAM2,ppi_l_bidir,ppi_prediction
7990,7991,RPS19,ITGA4,ppi_l_bidir,ppi_prediction
7996,7997,RPS19,VCAM1,ppi_l_bidir,ppi_prediction
8000,8001,PTPRC,EPOR,ppi_bidir_r,ppi_prediction
8002,8003,PTPRC,INSR,ppi_bidir_r,ppi_prediction
8004,8005,PTPRC,LEPR,ppi_bidir_r,ppi_prediction
8005,8006,PTPRC,ERBB2,ppi_bidir_r,ppi_prediction
8008,8009,PTPRC,CXCR4,ppi_bidir_r,ppi_prediction
8024,8025,ITGB1,CSF2RB,ppi_bidir_r,ppi_prediction
8025,8026,ICAM1,CSF2RB,ppi_bidir_r,ppi_prediction
8026,8027,ITGB1,ITGA5,ppi_bidir_r,ppi_prediction
8027,8028,ITGB1,DAG1,ppi_bidir_r,ppi_prediction
8028,8029,ITGB1,IGF1R,ppi_bidir_r,ppi_prediction
8029,8030,ITGB1,ITGA3,ppi_bidir_r,ppi_prediction
8031,8032,ITGB1,PLAUR,ppi_bidir_r,ppi_prediction
8032,8033,ITGB1,CD47,ppi_bidir_r,ppi_prediction
8033,8034,ITGB1,FLT4,ppi_bidir_r,ppi_prediction
8034,8035,ITGB1,ITGAV,ppi_bidir_r,ppi_prediction
8035,8036,ITGB1,ITGA6,ppi_bidir_r,ppi_prediction
8036,8037,ITGB1,CD151,ppi_bidir_r,ppi_prediction
8037,8038,ITGB1,ITGA2,ppi_bidir_r,ppi_prediction
8038,8039,ITGB1,ITGA1,ppi_bidir_r,ppi_prediction
8045,8046,PTPRC,IFNAR1,ppi_bidir_r,ppi_prediction
8047,8048,ITGAM,PLAUR,ppi_bidir_r,ppi_prediction
8051,8052,ITGA4,CXCR4,ppi_bidir_r,ppi_prediction
8053,8054,ITGA4,CD44,ppi_bidir_r,ppi_prediction
8054,8055,ICAM1,IL2RG,ppi_bidir_r,ppi_prediction
8070,8071,ITGB1,IGF2R,ppi_bidir_r,ppi_prediction
8071,8072,ITGB1,SDC1,ppi_bidir_r,ppi_prediction
8072,8073,ITGB1,ITGAX,ppi_bidir_r,ppi_prediction
8074,8075,ITGB1,PTCH1,ppi_bidir_r,ppi_prediction
8076,8077,ITGB1,NCSTN,ppi_bidir_r,ppi_prediction
8077,8078,ITGB1,PTCH2,ppi_bidir_r,ppi_prediction
8086,8087,ITGA4,PTCH1,ppi_bidir_r,ppi_prediction
8102,8103,PTPRC,CD4,ppi_bidir_r,ppi_prediction
8105,8106,PTPRC,CD44,ppi_bidir_r,ppi_prediction
8116,8117,ITGB1,ITGA10,ppi_bidir_r,ppi_prediction
8121,8122,PTPRC,NTRK1,ppi_bidir_r,ppi_prediction
8136,8137,ICAM1,IL2RA,ppi_bidir_r,ppi_prediction
8137,8138,SELL,CD4,ppi_bidir_r,ppi_prediction
8143,8144,CD80,NGFR,ppi_bidir_r,ppi_prediction
8147,8148,PTPRC,CD8A,ppi_bidir_r,ppi_prediction
8149,8150,JAM3,ITGAX,ppi_bidir_r,ppi_prediction
8150,8151,JAM3,F2RL2,ppi_bidir_r,ppi_prediction
8154,8155,ITGB1,FZD6,ppi_bidir_r,ppi_prediction
8159,8160,ITGA4,TFRC,ppi_bidir_r,ppi_prediction
8161,8162,ITGB1,NTRK1,ppi_bidir_r,ppi_prediction
8164,8165,ALCAM,NTRK1,ppi_bidir_r,ppi_prediction
8165,8166,GLG1,NTRK1,ppi_bidir_r,ppi_prediction
8171,8172,ITGA4,RPSA,ppi_bidir_r,ppi_prediction
8182,8183,PTPRC,CD2,ppi_bidir_bidir,ppi_prediction
8183,8184,PTPRC,CD28,ppi_bidir_bidir,ppi_prediction
8187,8188,ITGB1,ITGA4,ppi_bidir_bidir,ppi_prediction
8195,8196,ICAM1,ITGAM,ppi_bidir_bidir,ppi_prediction
8196,8197,ITGAM,JAM3,ppi_bidir_bidir,ppi_prediction
8197,8198,ITGAM,ICAM2,ppi_bidir_bidir,ppi_prediction
8198,8199,ITGA4,ITGB7,ppi_bidir_bidir,ppi_prediction
8204,8205,ITGA4,MADCAM1,ppi_bidir_bidir,ppi_prediction
8208,8209,PTPRC,ITGAL,ppi_bidir_bidir,ppi_prediction
8209,8210,SELL,SELPLG,ppi_bidir_bidir,ppi_prediction
8219,8220,ITGB1,L1CAM,ppi_bidir_bidir,ppi_prediction
8221,8222,ITGB1,JAM3,ppi_bidir_bidir,ppi_prediction
8225,8226,ITGA4,JAM3,ppi_bidir_bidir,ppi_prediction
8226,8227,SELL,CD34,ppi_bidir_bidir,ppi_prediction
8245,8246,TNF,RACK1,ppi_lr_go,ppi_prediction_go
8272,8273,HMGB2,NTRK1,ppi_lr_go,ppi_prediction_go
8293,8294,HMGB2,ITPR1,ppi_lr_go,ppi_prediction_go
8294,8295,HMGB2,ITPR3,ppi_lr_go,ppi_prediction_go
8355,8356,TNF,CALM1,ppi_lr_go,ppi_prediction_go
9601,9602,TNF,RASA3,ppi_lr_go,ppi_prediction_go
9603,9604,IFNG,PTPN6,ppi_lr_go,ppi_prediction_go
9720,9721,CXCL10,ADRA2B,ppi_lr_go,ppi_prediction_go
9722,9723,CXCL10,S1PR1,ppi_lr_go,ppi_prediction_go
9740,9741,CXCL10,GPR18,ppi_lr_go,ppi_prediction_go
9751,9752,CXCL10,LPAR5,ppi_lr_go,ppi_prediction_go
9752,9753,CXCL10,S1PR5,ppi_lr_go,ppi_prediction_go
9755,9756,CXCL10,TAS2R14,ppi_lr_go,ppi_prediction_go
9762,9763,CXCL10,GABBR1,ppi_lr_go,ppi_prediction_go
9763,9764,CXCL10,LPAR3,ppi_lr_go,ppi_prediction_go
9764,9765,CXCL10,GPR55,ppi_lr_go,ppi_prediction_go
9910,9911,NMB,PTAFR,ppi_lr_go,ppi_prediction_go
9918,9919,NMB,LPAR6,ppi_lr_go,ppi_prediction_go
9921,9922,NMB,DLG4,ppi_lr_go,ppi_prediction_go
9925,9926,NMB,LTB4R,ppi_lr_go,ppi_prediction_go
9926,9927,NMB,GPR68,ppi_lr_go,ppi_prediction_go
9928,9929,NMB,GPR65,ppi_lr_go,ppi_prediction_go
9929,9930,NMB,LPAR5,ppi_lr_go,ppi_prediction_go
9930,9931,NMB,LTB4R2,ppi_lr_go,ppi_prediction_go
9931,9932,NMB,CYSLTR2,ppi_lr_go,ppi_prediction_go
9932,9933,NMB,LPAR3,ppi_lr_go,ppi_prediction_go
9934,9935,NMB,GPR132,ppi_lr_go,ppi_prediction_go
9935,9936,NMB,CYSLTR1,ppi_lr_go,ppi_prediction_go
10553,10554,ADM,PTGER4,ppi_lr_go,ppi_prediction_go
10554,10555,ADM,PTGER2,ppi_lr_go,ppi_prediction_go
10555,10556,ADM,PTGIR,ppi_lr_go,ppi_prediction_go
10556,10557,ADM,GPR15,ppi_lr_go,ppi_prediction_go
10557,10558,ADM,PTGDR,ppi_lr_go,ppi_prediction_go
10559,10560,ADM,GPR150,ppi_lr_go,ppi_prediction_go
10958,10959,FBRS,NRP1,ppi_lr_go,ppi_prediction_go
10962,10963,HMGB2,DAB2,ppi_lr_go,ppi_prediction_go
10963,10964,HMGB2,CD44,ppi_lr_go,ppi_prediction_go
10964,10965,HMGB2,FAS,ppi_lr_go,ppi_prediction_go
11058,11059,ADM,GPR25,ppi_lr_go,ppi_prediction_go
11062,11063,TNFSF9,TLR4,ppi_lr_go,ppi_prediction_go
11112,11113,NMB,P2RY10,ppi_lr_go,ppi_prediction_go
11164,11165,NMB,FFAR3,ppi_lr_go,ppi_prediction_go
11255,11256,ADM,RAMP3,ppi_lr_go,ppi_prediction_go
11304,11305,CXCL10,S1PR2,ppi_lr_go,ppi_prediction_go
11335,11336,CXCL10,S1PR4,ppi_lr_go,ppi_prediction_go
11364,11365,RABEP1,NTRK1,ppi_lr_go,ppi_prediction_go
