,names,scores,logfoldchanges,pvals,pvals_adj
10063,ITIH4,-0.32476255,-0.5081972,0.7454473634054348,1.0
10064,ROM1,-0.3255915,-0.69681114,0.744833905550339,1.0
10065,LPAR2,-0.32645285,-0.120099515,0.7441659297250105,1.0
10066,WDR12,-0.32654685,-0.18152384,0.7440946100602197,1.0
10067,AC009831.1,-0.32670724,-0.4197227,0.7439751173198986,1.0
10068,YKT6,-0.32691628,-0.13601094,0.7438155491204756,1.0
10069,SLC15A4,-0.32812607,-0.27056006,0.7429010011161248,1.0
10070,PLA2G6,-0.32886723,-0.22665647,0.7423417853847984,1.0
10071,HEBP1,-0.3292185,-0.1825864,0.7420752258541417,1.0
10072,OGFOD1,-0.33000267,-0.15102182,0.7414843091942629,1.0
10073,PCGF6,-0.3311876,-0.19868019,0.7405970382414371,1.0
10074,COG8,-0.33131745,-0.7101229,0.7405076684323232,1.0
10075,FRZB,-0.33173954,-0.711788,0.7401890843436261,1.0
10076,TRAV23DV6,-0.3319955,-0.21037422,0.7399790914935285,1.0
10077,INTS5,-0.33239013,-0.27687928,0.739680553065426,1.0
10078,FGD2,-0.33244509,-0.46697176,0.7396387956848616,1.0
10079,HEATR1,-0.33250132,-0.14803009,0.739596694176508,1.0
10080,TET1,-0.3328118,-0.5719797,0.7393623221401111,1.0
10081,COX14,-0.3328844,-0.072272204,0.7393079778442007,1.0
10082,CBLN3,-0.3329364,-0.4990655,0.7392761811536361,1.0
10083,ACOT4,-0.33352572,-0.30600846,0.73882892786123,1.0
10084,TP73,-0.33357203,-0.31913176,0.7388050419033336,1.0
10085,C1orf123,-0.33392447,-0.11203709,0.7385228521572385,1.0
10086,PLCD1,-0.33400452,-0.26874667,0.738465518203143,1.0
10087,AC105446.1,-0.3342427,-0.2735996,0.7382831242890112,1.0
10088,AC068338.2,-0.33431655,-0.717188,0.7382449823570523,1.0
10089,SYT5,-0.33454928,-0.66002506,0.7380893878887768,1.0
10090,NCOA7,-0.33494627,-0.11891873,0.7377519138630904,1.0
10091,TMEM79,-0.3360999,-0.3369066,0.7368827740778019,1.0
10092,ABL2,-0.3361572,-0.28168547,0.7368392844652023,1.0
10093,CLEC11A,-0.33652595,-0.50449663,0.7365708089577376,1.0
10094,ZNF784,-0.33660308,-0.41434944,0.7365100402299427,1.0
10095,VPS29,-0.33712944,-0.06876702,0.7361064445694622,1.0
10096,NDOR1,-0.3372934,-0.22227888,0.7359828268468949,1.0
10097,AC097103.2,-0.33743015,-0.48920256,0.7359039305819968,1.0
